,DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
80,10,1,,frag,1,thank,"
Thank you for calling
",,,,,,
81,10,1,,frag,2,direct,"
direct express card services my name is merry may have your name please
",intro-request,,positive,,,
82,10,1,,frag,3,refer,"
",,,positive,punct,type,stop
83,10,2,2,frag,4,greet,"
Hello
",,,,,,
84,10,2,2,frag,5,refer,"
my name L
",partial,spell,positive,,,
85,10,2,2,frag,6,refer,"
",,,positive,punct,type,stop
86,10,2,2,frag,7,state,"
hay Seuss
",,,positive,,,
87,10,2,2,frag,8,refer,"
",,,positive,punct,type,stop
88,10,3,,frag,9,refer,"
The last four digits of your card number
",,number-enum,positive,,,
89,10,3,,frag,10,refer,"
",,,positive,punct,type,stop
90,10,4,2,frag,11,refer,"
Zero six two six
",,enum-number,positive,,,
91,10,4,2,frag,12,refer,"
",,,positive,punct,type,stop
92,10,5,,frag,13,refer,"
The last four digits of your social security number
",,number-enum,positive,,,
93,10,5,,frag,14,refer,"
",,,positive,punct,type,stop
94,10,6,2,frag,15,refer,"
Two eight six
",,number-enum,positive,,,
95,10,6,2,frag,16,refer,"
",,,positive,punct,type,stop
96,10,7,,frag,17,state,"
And your date of birth
",,date,positive,,,
97,10,7,,frag,18,refer,"
",,,positive,punct,type,stop
98,10,8,2,frag,19,refer,"
Six to nineteen forty five
",,enum-number,positive,,,
99,10,8,2,frag,20,refer,"
",,,positive,punct,type,stop
100,10,9,,frag,21,state,"
Thank you for that information
",,,positive,,,
101,10,9,,frag,22,refer,"
",,,positive,punct,type,stop
102,10,10,,decl,23,state,"
I'm just going to check to see if your car profilers updated and then share some information with you today
",condition,date-verify-spell,positive,,,
103,10,10,,frag,24,refer,"
",,,positive,punct,type,stop
104,10,11,2,dm,25,acknowledge,"
Okay
",,,,,,
105,10,11,2,dm,26,muse,"
well
",,,,,,
106,10,11,2,decl,27,state,"
I just got a new car and I just packed I got a question so go ahead
",,spell,positive,,,
107,10,11,2,frag,28,refer,"
",,,positive,punct,type,stop
108,10,12,,frag,29,state,"
Do you have a mobile phone number Tony
",,number,positive,,,
109,10,12,,frag,30,refer,"
",,,positive,punct,type,stop
110,10,13,2,frag,31,state,"
Cell phone
",,,positive,,,
111,10,13,2,frag,32,refer,"
",,,positive,punct,type,stop
112,10,14,,yes,33,acknowledge,"
Yes
",,,,,,
113,10,14,,frag,34,refer,"
",,,positive,punct,type,stop
114,10,15,2,frag,35,refer,"
Six one
",,number-enum,positive,,,
115,10,15,2,frag,36,refer,"
",,,positive,punct,type,stop
116,10,16,,frag,37,refer,"
Eight
",,,positive,,,
117,10,16,,frag,38,refer,"
",,,positive,punct,type,stop
118,10,17,2,frag,39,refer,"
Seven oh seven
",,enum-number,positive,,,
119,10,17,2,frag,40,refer,"
",,,positive,punct,type,stop
120,10,18,,dm,41,expressSurprise,"
Oh
",,,,,,
121,10,18,,imp,42,direct,"
wait six four eight
",,enum-number,positive,,,
122,10,18,,frag,43,refer,"
",,,positive,punct,type,stop
123,10,19,2,frag,44,refer,"
Seven oh seven
",,number-enum,positive,,,
124,10,19,2,frag,45,refer,"
",,,positive,punct,type,stop
125,10,20,2,frag,46,refer,"
Fifty six eighty five
",,enum-number,positive,,,
126,10,20,2,frag,47,refer,"
",,,positive,punct,type,stop
127,10,21,,frag,48,state,"
Do you have an email address
",,address,positive,,,
128,10,21,,frag,49,refer,"
",,,positive,punct,type,stop
129,10,22,2,frag,50,greet,"
Hi
",,,,,,
130,10,22,2,decl,51,stateConstraint,"
David I don't do email I don't remember I have to look at that
",constrain,spell,negative,,,
131,10,22,2,frag,52,refer,"
",,,positive,punct,type,stop
132,10,23,,dm,53,acknowledge,"
Okay
",,,,,,
133,10,23,,decl,54,approve,"
that's fine I'll update this phone number
",reassurance-appreciate,spell-number-date,positive,,,
134,10,23,,frag,55,refer,"
",,,positive,punct,type,stop
135,10,24,,frag,56,refer,"
Before I share this information with you what questions you have for me today
",benefit1-partial,spell,positive,,,
136,10,24,,frag,57,refer,"
",,,positive,punct,type,stop
137,10,25,2,dm,58,muse,"
Well
",,,,,,
138,10,25,2,decl,59,state,"
I just activated it
",,spell,positive,,,
139,10,25,2,frag,60,refer,"
",,,positive,punct,type,stop
140,10,26,2,frag,61,refer,"
And
",,,positive,,,
141,10,26,2,frag,62,refer,"
",,,positive,punct,type,stop
142,10,27,2,decl,63,report,"
They said in June I had a deposit of one thousand four hundred sixty one dollars
",report,enum-number-spell-month-location-currency,positive,,,
143,10,27,2,frag,64,refer,"
",,,positive,punct,type,stop
144,10,28,2,frag,65,spell,"
How much do I have on that account ma'am
",,spell,positive,,,
145,10,28,2,frag,66,refer,"
",,,positive,punct,type,stop
146,10,29,,decl,67,state,"
I show you have a balance of ninety three cents
",,enum-spell-number-currency,positive,,,
147,10,29,,frag,68,refer,"
",,,positive,punct,type,stop
148,10,30,2,dm,69,acknowledge,"
Okay
",,,,,,
149,10,30,2,frag,70,refer,"
",,,positive,punct,type,stop
150,10,31,2,frag,71,spell,"
And then I'll get my social security on the tent
",,spell,positive,,,
151,10,31,2,frag,72,refer,"
",,,positive,punct,type,stop
152,10,32,,frag,73,refer,"
On the tenth I show a pending deposit for one thousand four hundred sixty one
",,enum-number-spell,positive,,,
153,10,32,,frag,74,refer,"
",,,positive,punct,type,stop
154,10,33,2,dm,75,acknowledge,"
Okay
",,,,,,
155,10,33,2,frag,76,refer,"
",,,positive,punct,type,stop
156,10,34,,dm,77,acknowledge,"
Okay
",,,,,,
157,10,34,,dm,78,init,"
so
",,,,,,
158,10,34,,decl,79,state,"
I'm going to share some information with you today
",,spell,positive,,,
159,10,34,,frag,80,refer,"
",,,positive,punct,type,stop
160,10,35,2,frag,81,refer,"
We
",,,positive,,,
161,10,35,2,frag,82,refer,"
",,,positive,punct,type,stop
162,10,36,,decl,83,expressPossibility,"
We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones
",poss2-benefit2-thank-alternative,habit-date,positive,,,
163,10,36,,frag,84,refer,"
",,,positive,punct,type,stop
164,10,37,,dm,85,muse,"
Well
",,,,,,
165,10,37,,frag,86,refer,"
as a team what draws let me sure three features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar fifty
",benefit2,availability-currency-enum-number,positive,,,
166,10,37,,frag,87,refer,"
",,,positive,punct,type,stop
167,10,38,,decl,88,state,"
You can enjoy the new card holder website to access your card information
",,,positive,,,
168,10,38,,frag,89,refer,"
",,,positive,punct,type,stop
169,10,39,2,frag,90,refer,"
What he's saying now about going
",partial,,positive,,,
170,10,39,2,frag,91,refer,"
",,,positive,punct,type,stop
171,10,40,2,frag,92,state,"
For free the last
",,,positive,,,
172,10,40,2,frag,93,refer,"
",,,positive,punct,type,stop
173,10,41,,frag,94,refer,"
Walmart you can go to you can go to any Walmart money center and access up to two thousand dollars in cash for a fee of a dollar fifty
",poss2-benefit2,currency-enum-number,positive,,,
174,10,41,,frag,95,refer,"
",,,positive,punct,type,stop
175,10,42,2,dm,96,acknowledge,"
Okay
",,,,,,
176,10,42,2,frag,97,refer,"
",,,positive,punct,type,stop
177,10,43,,frag,98,referPlace,"
That's just at Walmart you can go into any banking get a withdrawal for free though
",poss2-contrast,location,positive,,,
178,10,43,,frag,99,refer,"
",,,positive,punct,type,stop
179,10,44,2,dm,100,acknowledge,"
Okay
",,,,,,
180,10,44,2,frag,101,refer,"
",,,positive,punct,type,stop
181,10,45,,dm,102,init,"
So
",,,,,,
182,10,45,,decl,103,expressPossibility,"
you can enjoy the new card holder website
",poss2,,positive,,,
183,10,45,,frag,104,refer,"
",,,positive,punct,type,stop
184,10,46,,decl,105,state,"
I'm sorry
",,spell,positive,,,
185,10,46,,frag,106,refer,"
",,,positive,punct,type,stop
186,10,47,2,frag,107,state,"
Your your your you know
",,,positive,,,
187,10,47,2,frag,108,refer,"
",,,positive,punct,type,stop
188,10,48,2,frag,109,stateConstraint,"
And when you your brain telling her your body telling your brain you need oxygen
",constrain,time,positive,,,
189,10,48,2,frag,110,refer,"
",,,positive,punct,type,stop
190,10,49,,decl,111,stateConstraint,"
That I must need a lot of oxygen today
",constrain,spell,positive,,,
191,10,49,,frag,112,refer,"
",,,positive,punct,type,stop
192,10,50,2,decl,113,state,"
I know one person who was younger who bonded
",,enum-age-spell-number,positive,,,
193,10,50,2,frag,114,refer,"
",,,positive,punct,type,stop
194,10,51,,yes,115,acknowledge,"
Yeah
",,,,,,
195,10,51,,decl,116,state,"
I know that and I've been having a hard I've been having a hard time today and I do apologize for that
",,spell-time,positive,,,
196,10,51,,frag,117,refer,"
",,,positive,punct,type,stop
197,10,52,2,dm,118,muse,"
Well
",,,,,,
198,10,52,2,decl,119,state,"
I'm I'm very smart all
",,spell,positive,,,
199,10,52,2,frag,120,refer,"
",,,positive,punct,type,stop
200,10,53,2,dm,121,acknowledge,"
Okay
",,,,,,
201,10,53,2,frag,122,refer,"
",,,positive,punct,type,stop
202,10,54,,dm,123,acknowledge,"
Okay
",,,,,,
203,10,54,,dm,124,init,"
so
",,,,,,
204,10,54,,decl,125,expressPossibility,"
you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you may also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin
",poss2,verify,positive,,,
205,10,54,,frag,126,refer,"
",,,positive,punct,type,stop
206,10,55,,decl,127,expressPossibility,"
You can go to our website at W
",,spell,positive,,,
207,10,55,,frag,128,refer,"
",,,positive,punct,type,stop
208,10,55,,frag,129,refer,"
W
",,spell,positive,,,
209,10,55,,frag,130,refer,"
",,,positive,punct,type,stop
210,10,55,,frag,131,refer,"
W
",,spell,positive,,,
211,10,55,,frag,132,refer,"
",,,positive,punct,type,stop
212,10,55,,frag,133,spell,"
dot U
",,spell,positive,,,
213,10,55,,frag,134,refer,"
",,,positive,punct,type,stop
214,10,55,,frag,135,refer,"
S
",,spell,positive,,,
215,10,55,,frag,136,refer,"
",,,positive,punct,type,stop
216,10,55,,frag,137,state,"
direct express dot com
",,,positive,,,
217,10,55,,frag,138,refer,"
",,,positive,punct,type,stop
218,10,56,,decl,139,state,"
Please be sure to select the card beginning with the five one
",,enum-number,positive,,,
219,10,56,,frag,140,refer,"
",,,positive,punct,type,stop
220,10,57,,dm,141,initFollowUp,"
Also
",,,,,,
221,10,57,,decl,142,expressPossibility,"
you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you twenty four seven three sixty five
",poss2-benefit2,enum-number-availability,positive,,,
222,10,57,,frag,143,refer,"
",,,positive,punct,type,stop
223,10,58,,frag,144,,"
Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use
",opinion-benefit2-intent1,time,positive,,,
224,10,58,,frag,145,refer,"
",,,positive,punct,type,stop
225,10,59,,dm,146,init,"
Now
",,,,,,
226,10,59,,q-yn,147,reqDirect,"
today would you like me to set up the text alerts for you
",benefit2-preference2,,positive,,,
227,10,59,,frag,148,refer,"
",,,positive,punct,type,stop
228,10,60,2,dm,149,muse,"
Well
",,,,,,
229,10,60,2,frag,150,refer-refuse,"
seven something I didn't do it alerts me
",,number-spell-enum,negative,,,
230,10,60,2,frag,151,elab-refer,"
",,,positive,punct,type,stop
231,10,61,,dm,152,init,"
So
",,,,,,
232,10,61,,frag,153,state,"
the text alerts would be
",,,positive,,,
233,10,61,,frag,154,refer,"
",,,positive,punct,type,stop
234,10,62,,frag,155,referTime,"
The first one will be for your debit transactions oppose so anytime you use your card you'll get an alert
",predict,enum-creditcard-time-number,positive,,,
235,10,62,,frag,156,refer,"
",,,positive,punct,type,stop
236,10,63,,frag,157,state,"
Then we have one for a wrong pin attempts if you were to enter the wrong pin number you would get an alert
",condition,number-enum,positive,,,
237,10,63,,frag,158,refer,"
",,,positive,punct,type,stop
238,10,64,,frag,159,refer,"
Then we have one
",,number-enum,positive,,,
239,10,64,,frag,160,refer,"
",,,positive,punct,type,stop
240,10,65,2,decl,161,expressOpinion,"
I don't think I need that
",opinion,spell,negative,,,
241,10,65,2,frag,162,refer,"
",,,positive,punct,type,stop
242,10,66,,decl,163,state,"
You don't need that okay would you like to opt into our promotional alerts
",preference2,,negative,,,
243,10,66,,frag,164,refer,"
",,,positive,punct,type,stop
244,10,67,2,decl,165,state,"
What's that name
",,,positive,,,
245,10,67,2,frag,166,refer,"
",,,positive,punct,type,stop
246,10,68,,decl,167,predict,"
They'll send you promotions through alerts one Sir average once they have
",,number-enum,positive,,,
247,10,68,,frag,168,refer,"
",,,positive,punct,type,stop
248,10,69,2,dm,169,muse,"
Well
",,,,,,
249,10,69,2,imp,170,suggest,"
let me hear you Sir card first
",,,positive,,,
250,10,69,2,frag,171,refer,"
",,,positive,punct,type,stop
251,10,70,,dm,172,accept,"
Okay
",,,,,,
252,10,70,,dm,173,agree,"
absolutely
",,,,,,
253,10,70,,decl,174,expressPossibility,"
you can sign up for them at any time
",poss2-option,time,positive,,,
254,10,70,,frag,175,refer,"
",,,positive,punct,type,stop
255,10,71,2,dm,176,acknowledge,"
Okay
",,,,,,
256,10,71,2,frag,177,refer,"
",,,positive,punct,type,stop
257,10,72,,dm,178,acknowledge,"
Okay
",,,,,,
258,10,72,,q-yn,179,reqInfoExists,"
do you have any other questions for me today Tony
",benefit1-exists,,positive,,,
259,10,72,,frag,180,refer,"
",,,positive,punct,type,stop
260,10,73,2,no,181,answer-negateExistence,"
No
",,,,,,
261,10,73,2,decl,182,elab-state,"
that's all thank you
",thank,,positive,,,
262,10,73,2,frag,183,refer,"
",,,positive,punct,type,stop
263,10,74,,frag,184,thank,"
You're welcome Sir thank you for calling direct express card services you have a good day
",thank,,positive,,,
264,10,74,,frag,185,refer,"
",,,positive,punct,type,stop
265,10,75,2,frag,186,thank,"
Line for fifteen minutes I want help yeah a lot of I would log on thank you
",thank,spell-time,positive,,,
266,10,75,2,frag,187,refer,"
",,,positive,punct,type,stop
267,10,76,,address,188,refer,"
Sir
",,,,,,
268,10,76,,decl,189,acknowledgeThanks,"
you're welcome bye
",closing-farewell,,positive,,,
269,10,76,,frag,190,refer,"
",,,positive,punct,type,stop
270,10,77,2,frag,191,bye,"
Bye
",,,,,,
271,10,77,2,frag,192,refer,"
",,,positive,punct,type,stop
272,10,78,2,frag,193,refer,"
nan
",,,positive,,,
273,10,79,2,frag,194,state,"
What else
",,,positive,,,
274,10,79,2,frag,195,refer,"
",,,positive,punct,type,stop
275,11,1,,frag,1,thank,"
Thank you for calling
",,,,,,
276,11,1,,frag,2,refer,"
direct
",,,positive,,,
277,11,1,,frag,3,refer,"
",,,positive,punct,type,stop
278,11,2,,frag,4,refer,"
Express card services this town how may I help you today
",benefit2-partial,spell,positive,,,
279,11,2,,frag,5,refer,"
",,,positive,punct,type,stop
280,11,3,1,yes,6,acknowledge,"
Yeah
",,,,,,
281,11,3,1,imp,7,direct,"
hold morning let's see I'm calling on behalf of all of my mother just got activated for a foot up with us and the receipt look perfect on a debit card she's right here if you want to speak to her we realize that very hard of hearing it's very hard for her to go so but I do realize what a verify her driving please help give the phone to her you can also any questions you want to confirm that I think if you don't understand he lost me and then I can I can I can actually help order
",condition-opinion-contrast-reassurance-request-poss2-counter_expectation,spell-location-time-confirm-verify-creditcard,negative,,,
282,11,3,1,frag,8,refer,"
",,,positive,punct,type,stop
283,11,4,,dm,9,init,"
All right
",,,,,,
284,11,4,,frag,10,refer,"
",,,positive,punct,type,stop
285,11,5,1,dm,11,acknowledge,"
Okay
",,,,,,
286,11,5,1,dm,12,hold,"
one second
",,,,,,
287,11,5,1,frag,13,refer,"
",,,positive,punct,type,stop
288,11,6,,yes,14,acknowledge,"
Yes
",,,,,,
289,11,6,,yes,15,acknowledge,"
yes
",,,,,,
290,11,6,,yes,16,acknowledge,"
yes
",,,,,,
291,11,6,,frag,17,refer,"
",,,positive,punct,type,stop
292,11,7,,frag,18,greet,"
Hello
",,,,,,
293,11,7,,frag,19,refer,"
",,,positive,punct,type,stop
294,11,8,1,frag,20,greet,"
Hi
",,,,,,
295,11,8,1,frag,21,refer,"
",,,positive,punct,type,stop
296,11,9,,frag,22,greet,"
Hello
",,,,,,
297,11,9,,q-wh,23,reqInfo,"
what's your name
",,,positive,,,
298,11,9,,frag,24,refer,"
",,,positive,punct,type,stop
299,11,10,,frag,25,greet,"
Hi
",,,,,,
300,11,10,,frag,26,answer-refer,"
",,,positive,punct,type,stop
301,11,11,,frag,27,greet,"
What is your name hi
",greet-opening,,positive,,,
302,11,11,,frag,28,refer,"
",,,positive,punct,type,stop
303,11,12,1,no,29,negate,"
No
",,,,,,
304,11,12,1,frag,30,refer,"
",,,positive,punct,type,stop
305,11,13,,frag,31,state,"
Data birth
",,,positive,,,
306,11,13,,frag,32,refer,"
",,,positive,punct,type,stop
307,11,14,,yes,33,acknowledge,"
Yeah
",,,,,,
308,11,14,,frag,34,refer,"
",,,positive,punct,type,stop
309,11,15,,yes,35,acknowledge,"
Yeah
",,,,,,
310,11,15,,frag,36,refer,"
",,,positive,punct,type,stop
311,11,16,,frag,37,refer,"
Nine three for all other
",,number-enum,positive,,,
312,11,16,,frag,38,refer,"
",,,positive,punct,type,stop
313,11,17,,frag,39,state,"
And the last for your social security number
",,number,positive,,,
314,11,17,,frag,40,refer,"
",,,positive,punct,type,stop
315,11,18,,frag,41,refer,"
In Austin for did you of your social security number last four digits only
",limitation-partial,number-enum,positive,,,
316,11,18,,frag,42,refer,"
",,,positive,punct,type,stop
317,11,19,,frag,43,thank,"
Thanks
",,,,,,
318,11,19,,frag,44,bye,"
bye
",,,,,,
319,11,19,,frag,45,refer,"
",,,positive,punct,type,stop
320,11,20,1,frag,46,greet,"
Hello
",,,,,,
321,11,20,1,frag,47,refer,"
",,,positive,punct,type,stop
322,11,21,,dm,48,init,"
All right
",,,,,,
323,11,21,,q-wh,49,reqDirect,"
what can I help you with today
",benefit2,spell,positive,,,
324,11,21,,frag,50,refer,"
",,,positive,punct,type,stop
325,11,22,,no,51,reject,"
No
",,,,,,
326,11,22,,frag,52,elab-state,"
not my phone will keep you
",,,negative,,,
327,11,22,,frag,53,refer,"
",,,positive,punct,type,stop
328,11,23,,frag,54,state,"
My son will speak to you
",benefit2,,positive,,,
329,11,23,,frag,55,refer,"
",,,positive,punct,type,stop
330,11,24,,frag,56,refer,"
Thank
",,,positive,,,
331,11,24,,frag,57,refer,"
",,,positive,punct,type,stop
332,11,25,1,frag,58,refer,"
You
",,,positive,,,
333,11,25,1,frag,59,refer,"
",,,positive,punct,type,stop
334,11,26,,dm,60,acknowledge,"
Okay
",,,,,,
335,11,26,,frag,61,refer,"
",,,positive,punct,type,stop
336,11,27,,dm,62,acknowledge,"
Okay
",,,,,,
337,11,27,,frag,63,refer,"
",,,positive,punct,type,stop
338,11,28,,frag,64,,"
Thank you so much the appreciate patience while you see what you're trying to understand is what you're asking yeah just a couple of quick questions so the end office correct if you also find the back of a debit card which is which is good the question of how do a process the deposit now you have to call social security back to know let them know you have that card and when are they going to deposit your phone
",condition-constrain,enum-creditcard-problem-time,positive,,,
339,11,28,,frag,65,refer,"
",,,positive,punct,type,stop
340,11,29,1,decl,66,state,"
I'm sorry
",,spell,positive,,,
341,11,29,1,frag,67,refer,"
",,,positive,punct,type,stop
342,11,30,,frag,68,refer,"
Social security you have to call them in action when I go to deposit your funds on your account
",constrain-partial,time-spell,positive,,,
343,11,30,,frag,69,refer,"
",,,positive,punct,type,stop
344,11,31,1,dm,70,muse,"
Well
",,,,,,
345,11,31,1,decl,71,state,"
I don't but let me the book this book the first payment was actually given by itself but I could set
",contrast-counter_expectation,spell,negative,,,
346,11,31,1,frag,72,refer,"
",,,positive,punct,type,stop
347,11,32,,dm,73,acknowledge,"
Okay
",,,,,,
348,11,32,,q-yn,74,reqOpt,"
can you repeat that Sir it's kind of loud over here
",,location,positive,,,
349,11,32,,frag,75,refer,"
",,,positive,punct,type,stop
350,11,33,1,decl,76,report-stateOpt,"
I said the first payment came by and I threw it sat right but deposit back into into the back
",report-contrast,spell,positive,,,
351,11,33,1,frag,77,elab-refer,"
",,,positive,punct,type,stop
352,11,34,,dm,78,acknowledge,"
Okay
",,,,,,
353,11,34,,dm,79,init,"
so
",,,,,,
354,11,34,,decl,80,state,"
the next time they
",,time,positive,,,
355,11,34,,frag,81,refer,"
",,,positive,punct,type,stop
356,11,35,,frag,82,stateReason,"
Get you next time you get a deposit is going to come on this car because it's all first time you ever get paid to get a check
",reason-predict-habit,time-verify,positive,,,
357,11,35,,frag,83,refer,"
",,,positive,punct,type,stop
358,11,36,1,decl,84,stateReason,"
Correct I know but well with my question how do I ask for deposits do I need to go to a bank deposited because you can deposit
",contrast-reason-poss2,spell,positive,,,
359,11,36,1,frag,85,refer,"
",,,positive,punct,type,stop
360,11,37,,decl,86,stateReason,"
It wrecked express Kerr because you can only receive deposits on here you can
",poss2-limitation-reason,location,positive,,,
361,11,37,,frag,87,refer,"
",,,positive,punct,type,stop
362,11,38,1,frag,88,refer,"
Go on one more my mom I understand that I understand that from the next deposit on with some stock my question is they will be future deposits only happen also to activate the card and offered the post of the post
",limitation,spell-enum-number,positive,,,
363,11,38,1,frag,89,refer,"
",,,positive,punct,type,stop
364,11,39,,frag,90,state,"
That's what they told me
",report,,positive,,,
365,11,39,,frag,91,refer,"
",,,positive,punct,type,stop
