Call_ID,Speaker,Dialogue,Intents,Ents
1,1,i know what to do,[],
1,1,thank you for that anyway,"['CAUSE', 'THANK_DIRECT']",
1,1,your all welcome,"['THANK_RESPONSE', 'INTRODUCE_COMPANY']",
1,2,is there anything else i can help you more,['OFFER_DIRECT'],
1,1,no i that is a lot that,"['ACCEPT_NEG', 'NEGATE_DIRECT']",
1,2,thank you very much for your call and having a wonderful day,"['CAUSE', 'THANK_DIRECT']",
1,2,bye,['BYE_FORMAL'],
1,1,okay,['ACCEPT_POS'],
1,1,bye,['BYE_FORMAL'],
2,1,welcome to australia post load and go support my name is archie have your card id number please,"['NUMBER', 'VERIFY_DETAIL', 'NAME', 'INTRODUCE_SELF', 'CARD', 'INTRODUCE_COMPANY']","(Australia Post, ORG),(Archie, PERSON)"
2,2,yes is that the straight digit,['ACCEPT_POS'],
2,1,no it is the digit number on the back of your card please,"['ACCEPT_NEG', 'VERIFY_DETAIL', 'INTRODUCE_SELF', 'NEGATE_DIRECT', 'CARD', 'NUMBER']",
2,2,okay,['ACCEPT_POS'],
2,1,is the last digit number,['NUMBER'],
2,2,yes,['ACCEPT_POS'],
2,1,okay thank you so much let me go ahead and pull up the account moment,"['EFFECT', 'OFFER_DIRECT', 'ACCOUNT', 'ACCEPT_POS', 'THANK_DIRECT']",
2,2,okay,['ACCEPT_POS'],
2,1,can i have the access code please it is the digit number you nominate,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'INTRODUCE_SELF', 'ACCESS_CODE', 'NUMBER']",
2,1,when you purchase the card,"['CONDITION_DIRECT', 'CARD']",
2,1,thank you so much and how can help you today tammy,"['THANK_DIRECT', 'EFFECT']","(today, DATE),(Tammy, PERSON)"
2,2,ah yes,"['ACCEPT_POS', 'HESITATE_DIRECT']",
2,2,oh i realize i had not changed,"['NEGATE_DIRECT', 'HESITATE_DIRECT']",
2,2,i updated my address,['ADDRESS'],
2,2,so when the cards renewed it is going to my old address,"['CONDITION_DIRECT', 'INTRODUCE_SELF', 'EFFECT', 'ADDRESS']",
2,1,i am so sorry for that but let me verify your address is it still,"['CONDITION_DIRECT', 'EFFECT', 'OFFER_DIRECT', 'CAUSE', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT', 'ADDRESS']",
2,1,paler up,[],
2,1,grover waikiki western australia,[],"(Grover Waikiki, ORG),(Australia, GPE)"
2,2,that is the new address i just changed it today,['ADDRESS'],"(today, DATE)"
2,1,okay so i can see here,"['EFFECT', 'ACCEPT_POS']",
2,1,the new card is already in transit,"['CAUSE', 'CARD']",
2,1,you should be able to receive that either tomorrow or the next couple of days,"['SUGGEST_DIRECT', 'ALTERNATIVE_DIRECT']","(tomorrow, DATE),(the next couple of days, DATE)"
2,2,so even though i have only just changed it like minutes ago to come to this address now,"['CAUSE', 'CONDITION_DIRECT', 'EFFECT', 'ADDRESS']",
2,2,we will have to go to look came back,['INFO_DIRECT'],
2,1,no no no definitely able to go through to that address because our personal will actually check from time to time,"['ACCEPT_NEG', 'CAUSE', 'ACK_POS', 'ADDRESS', 'NEGATE_DIRECT', 'INTRODUCE_COMPANY']",
2,1,um the address,"['HESITATE_DIRECT', 'ADDRESS']",
2,1,if it is already up,"['CAUSE', 'CONDITION_DIRECT', 'INTRODUCE_SELF']",
2,2,oh thanks,"['NEGATE_DIRECT', 'HESITATE_DIRECT', 'THANK_DIRECT']",
2,1,okay,['ACCEPT_POS'],
2,2,oh great,"['ACK_POS', 'HESITATE_DIRECT', 'NEGATE_DIRECT', 'ACCEPT_POS', 'WISH_DIRECT']",
2,2,thank you so much,"['THANK_DIRECT', 'EFFECT']",
2,1,you are very welcome tammy,"['THANK_RESPONSE', 'INTRODUCE_COMPANY']","(Tammy, PERSON)"
2,1,thank you for calling australia post load and go support,"['CAUSE', 'INTRODUCE_COMPANY', 'THANK_DIRECT']","(Australia, GPE)"
2,1,you have a wonderful day,['BYE_FORMAL'],
2,1,bye bye,['BYE_FORMAL'],
2,2,you to,[],
2,2,bye,['BYE_FORMAL'],
2,2,bye,['BYE_FORMAL'],
3,1,welcome to australia post load and go support this is matthew can i please have your card id number,"['NUMBER', 'OFFER_DIRECT', 'VERIFY_DETAIL', 'INTRODUCE_SELF', 'CARD', 'INTRODUCE_COMPANY']","(Australia, GPE),(Matthew, PERSON)"
3,2,yes sure matthew it is,"['INTRODUCE_SELF', 'ACCEPT_POS']","(Matthew, PERSON)"
3,1,okay,['ACCEPT_POS'],
3,2,alright,['ACK_POS'],
3,1,thank you,['THANK_DIRECT'],
3,1,s take moment or so here to pull details,"['ALTERNATIVE_DIRECT', 'EFFECT']",
3,1,alright,['ACK_POS'],
3,1,and can i get your name please,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'INTRODUCE_SELF', 'NAME']",
3,2,linda johnson,[],"(Linda Johnson, PERSON)"
3,1,thank you miss johnson can i also have your access code please,"['ADDRESS_FORMAL', 'OFFER_DIRECT', 'VERIFY_DETAIL', 'INIT_DIRECT_MID', 'ACCESS_CODE', 'THANK_DIRECT']",
3,2,do i tell you,['OBLIGATION_QUES'],
3,1,yes please,"['VERIFY_DETAIL', 'ACCEPT_POS']",
3,2,or you,['ALTERNATIVE_DIRECT'],
3,1,perfect,['COMPLIMENT_DIRECT'],
3,1,so i can i help you today,"['VERIFY_DETAIL', 'OFFER_HELP', 'EFFECT']","(today, DATE)"
3,2,i put on my line rather is that the other day as it comes through,"['CAUSE', 'ALTERNATIVE_DIRECT', 'EFFECT']","(the other day, DATE)"
3,1,just give me a second,['HOLD_DIRECT'],
3,1,i saw that go through yeah that went through on the,"['CAUSE', 'ACCEPT_POS']",
3,2,yep the was it,['ACCEPT_POS'],
3,1,yes and has it been,['ACCEPT_POS'],
3,2,something else taking out of that apart from the ig stuff it is been over a amount taking out from booked holiday house and i am wondering if that is come out to because,"['CONDITION_DIRECT', 'CAUSE', 'INTRODUCE_SELF', 'INFO_DIRECT', 'INTRODUCE_COMPANY']","(IG, GPE)"
3,1,stays,[],
3,1,s bob and stop,[],"(Bob, PERSON)"
3,2,did that come out yesterday,[],"(Five, CARDINAL),(yesterday, DATE)"
3,1,that came out,[],
3,1,interesting,['ACK_POS'],
3,1,a hours later,['EFFECT'],
3,1,so yes,"['EFFECT', 'ACCEPT_POS']",
3,1,yet,['EFFECT'],
3,2,from space,['INTRODUCE_COMPANY'],
3,2,yeah,['ACCEPT_POS'],
3,2,yeah,['ACCEPT_POS'],
3,2,so that did go out,['EFFECT'],
3,2,okay thank you very much that that is all i need tonight,"['VERIFY_DETAIL', 'ACCEPT_POS', 'THANK_DIRECT']","(tonight, TIME)"
3,1,alright perfect is there anything else i can assist today,"['OFFER_DIRECT', 'ACK_POS', 'COMPLIMENT_DIRECT']","(today, DATE)"
3,2,no thats all thanks matthew,"['ACCEPT_NEG', 'NEGATE_DIRECT', 'THANK_DIRECT']","(Matthew, PERSON)"
3,1,okay and thank you for calling australia post land and go support i hope you have a great vacation,"['CAUSE', 'ACK_POS', 'DESIRE_DIRECT', 'WISH_DIRECT', 'ACCEPT_POS', 'INTRODUCE_COMPANY', 'THANK_DIRECT']","(Australia, GPE)"
3,2,yeah,['ACCEPT_POS'],
3,2,thank you you too bye bye,"['EFFECT', 'BYE_FORMAL', 'THANK_DIRECT']",
3,1,alright thanks bye,"['BYE_FORMAL', 'ACK_POS', 'THANK_DIRECT']",
3,2,yeah,['ACCEPT_POS'],
4,1,but my thing,"['CONDITION_DIRECT', 'EFFECT']",
4,2,welcome to australia post load and go support this is matthew,"['INTRODUCE_SELF', 'INTRODUCE_COMPANY']","(Matthew, PERSON)"
4,2,i please have your card id number,"['VERIFY_DETAIL', 'CARD', 'NUMBER']",
4,2,okay,['ACCEPT_POS'],
4,2,okay,['ACCEPT_POS'],
4,2,okay,['ACCEPT_POS'],
4,2,thank you,['THANK_DIRECT'],
4,2,alright can i get your name please,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'ACK_POS', 'NAME', 'INTRODUCE_SELF']",
4,1,hela,[],
4,2,thank you hela can i have your access code please,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'ACCESS_CODE', 'THANK_DIRECT']",
4,1,zero zero,[],"(zero, CARDINAL)"
4,2,sorry of the,"['NEGATE_DIRECT', 'PARDON_DIRECT']",
4,2,sorry that is not correct,"['PARDON_DIRECT', 'ACCEPT_POS', 'NEGATE_DIRECT']",
4,1,oh cant remember it then,"['CONDITION_DIRECT', 'NEGATE_DIRECT', 'HESITATE_DIRECT']",
4,2,okay can you,['ACCEPT_POS'],
4,2,for,['CAUSE'],
4,2,can you confirm your date of birth first please,"['DOB', 'CONFIRM_QUES', 'VERIFY_DETAIL']","(first, ORDINAL)"
4,1,instead of,['ALTERNATIVE_DIRECT'],"(February, DATE)"
4,2,thank you,['THANK_DIRECT'],
4,2,and,[],
4,2,the address we have for you on file,"['CAUSE', 'ADDRESS']",
4,1,boston st,[],
4,1,fund way,[],
4,2,thank you,['THANK_DIRECT'],
4,2,and your mobile phone number,"['PHONE', 'NUMBER']",
4,2,please,['VERIFY_DETAIL'],
4,1,right,['ACCEPT_POS'],
4,2,perfect,['COMPLIMENT_DIRECT'],
4,2,so we are sending the access code to that number for future interactions and references,"['NUMBER', 'EFFECT', 'CAUSE', 'ACCESS_CODE', 'INTRODUCE_COMPANY']",
4,2,you should receive it within the next seconds or so,"['SUGGEST_DIRECT', 'ALTERNATIVE_DIRECT', 'EFFECT']","(the next seconds, TIME)"
4,2,but since you have already confirmed these details,"['CAUSE', 'CONDITION_DIRECT', 'EFFECT']",
4,2,how can i assist you today,"['OFFER_DIRECT', 'VERIFY_DETAIL']","(today, DATE)"
4,1,alright when i set the card up,"['CONDITION_DIRECT', 'ACK_POS', 'CARD']",
4,1,apparently i made a memorable word,['GUESS_DIRECT'],
4,1,and obviously i have forgotten the memorable word,['AGREE_DIRECT'],
4,1,sorry i locked out my card,"['CARD', 'NEGATE_DIRECT', 'PARDON_DIRECT']",
4,2,okay,['ACCEPT_POS'],
4,2,we do not actually have that as an available feature anymore if you are still trying to log in to the old log in page you will not be able to log in if you wanted to manage your account online,"['CONDITION_DIRECT', 'EFFECT', 'VERIFY_DETAIL', 'NEGATE_DIRECT', 'ACCOUNT']",
4,2,we you would want to create an account for dot,"['ACCOUNT', 'CAUSE']",
4,2,a you,[],
4,2,it is absolutely free,"['AGREE_DIRECT', 'ACK_POS', 'ACCEPT_POS', 'INTRODUCE_SELF']",
4,2,and basically just go on to the site and create an account,['ACCOUNT'],
4,2,from there,['INTRODUCE_COMPANY'],
4,2,once it is active,['INTRODUCE_SELF'],
4,2,you just then go into the signing or log in the area and then choose load and go from the drop down option,"['CONDITION_DIRECT', 'ALTERNATIVE_DIRECT', 'INTRODUCE_COMPANY']",
4,1,okay,['ACCEPT_POS'],
4,2,after that you will be able to manage your current services online,['INIT_DIRECT_MID'],
4,1,and i will be locked out any way,['ALTERNATIVE_DIRECT'],
4,2,mmm no your account should is in working order,"['ACCOUNT', 'ACCEPT_NEG', 'NEGATE_DIRECT']",
4,2,it is just that the site has been migrated since,"['CAUSE', 'INTRODUCE_SELF']","(June, DATE)"
4,1,okay,['ACCEPT_POS'],
4,2,is there anything else i can assist you with,['OFFER_DIRECT'],
4,1,that,[],
4,1,thank you,['THANK_DIRECT'],
4,2,and thank you for calling australia post load and go support and i hope you have a great day,"['CAUSE', 'ACK_POS', 'DESIRE_DIRECT', 'WISH_DIRECT', 'BYE_FORMAL', 'ACCEPT_POS', 'INTRODUCE_COMPANY', 'THANK_DIRECT']",
4,1,you too thanks,"['EFFECT', 'WISH_RESPONSE', 'THANK_DIRECT']",
4,2,you are welcome,"['THANK_RESPONSE', 'INTRODUCE_COMPANY']",
4,2,bye,['BYE_FORMAL'],
5,1,welcome to australia post load and go support,['INTRODUCE_COMPANY'],
5,1,my name is archie have your card id number please,"['VERIFY_DETAIL', 'NAME', 'INTRODUCE_SELF', 'CARD', 'NUMBER']","(Archie, PERSON)"
5,2,alright,['ACK_POS'],
5,1,thank you so much let me go ahead and pull up the account,"['EFFECT', 'OFFER_DIRECT', 'ACCOUNT', 'THANK_DIRECT']",
5,1,moment please,['VERIFY_DETAIL'],"(One, CARDINAL)"
5,1,can have the access code please it is the digit number,"['VERIFY_DETAIL', 'INTRODUCE_SELF', 'NUMBER', 'ACCESS_CODE']",
5,2,on the card,['CARD'],
5,1,its on the card its the digit number you know nominate when you purchased the card,"['CONDITION_DIRECT', 'CARD', 'NUMBER', 'REPEAT_DIRECT']",
5,1,i am sorry it is the correct numbers it is not that,"['REFUSE_DIRECT', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT', 'ACCEPT_POS']","(Four, CARDINAL)"
5,1,it is a different format,['INTRODUCE_SELF'],
5,1,i am sorry can i just have your first and last name please,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'NAME', 'REFUSE_DIRECT', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT']","(first, ORDINAL)"
5,2,andrew oliver,[],"(Andrew Oliver, PERSON)"
5,1,thank you and your date of birth,"['DOB', 'THANK_DIRECT']",
5,1,please,['VERIFY_DETAIL'],
5,1,and your email address please,"['VERIFY_DETAIL', 'EMAIL', 'ADDRESS']",
5,2,is it andrewezabethgrahamcom or,['ALTERNATIVE_DIRECT'],
5,1,it is vicoscom,['INTRODUCE_SELF'],
5,1,would you remember,[],
5,2,costs,[],
5,2,yeah,['ACCEPT_POS'],
5,2,anti associate at vikoscom,[],
5,1,thank you and your residential address please,"['VERIFY_DETAIL', 'ADDRESS', 'THANK_DIRECT']",
5,2,i have got,[],
5,2,slash,[],
5,2,umm collin street melbourne,['HESITATE_DIRECT'],
5,1,thank you so much and how can help you today andrew,"['THANK_DIRECT', 'EFFECT']","(today, DATE)"
5,2,i called up last month because my card was going to expire in a few weeks and they said that we are gonna reissue my card the card to my my collin street address,"['DATE', 'CAUSE', 'ADDRESS', 'CARD', 'INTRODUCE_COMPANY']","(last month, DATE),(a few weeks, DATE)"
5,2,yeah but it has not turned up and this card is now expired,"['CONDITION_DIRECT', 'EFFECT', 'CAUSE', 'NEGATE_DIRECT', 'CARD', 'ACCEPT_POS']",
5,2,i am wondering where,"['INFO_DIRECT', 'INTRODUCE_SELF']",
5,2,hope did not go to an old address,"['DESIRE_DIRECT', 'NEGATE_DIRECT', 'ADDRESS']",
5,1,mmm,[],
5,1,i can see you were being issued for a new card into first of however i can see the new car is already in transit,"['CAUSE', 'CARD']","(August, DATE)"
5,1,you should be able to receive the new card by either by tomorrow or in the next couple of days,"['SUGGEST_DIRECT', 'ALTERNATIVE_DIRECT', 'CARD']","(tomorrow, DATE),(the next couple of days, DATE)"
5,1,so your address we,"['EFFECT', 'ADDRESS']",
5,2,have here on this,[],
5,1,file is yes,['ACCEPT_POS'],
5,1,is it at colin st floor at melbourne victoria,[],"(Colin St, ORG),(Melbourne Victoria, PERSON)"
5,2,correct,['ACCEPT_POS'],
5,1,so you should be able to receive a card on the address we have on file again it is either tomorrow or in the next couple of days,"['SUGGEST_DIRECT', 'ALTERNATIVE_DIRECT', 'EFFECT', 'INIT_DIRECT_MID', 'INTRODUCE_SELF', 'CARD', 'ADDRESS']","(tomorrow, DATE),(the next couple of days, DATE)"
5,1,and it is it is already in transit,"['CAUSE', 'INTRODUCE_SELF']",
5,2,thats great,"['ACK_POS', 'ACCEPT_POS', 'WISH_DIRECT']",
5,2,can you tell me what about my balance,"['SUGGEST_DIRECT', 'DEMAND_DIRECT', 'INFO_DIRECT']",
5,1,i am sure i can,"['INTRODUCE_SELF', 'ACCEPT_POS']",
5,2,the,[],
5,1,it has,[],
5,2,no worries,"['ACCEPT_POS', 'NEGATE_DIRECT']",
5,2,cool,['ACCEPT_POS'],
5,2,are all,[],
5,2,thank you for that,"['CAUSE', 'THANK_DIRECT']",
5,2,i will give you a call back if it does not arrive this afternoon,"['CONDITION_DIRECT', 'NEGATE_DIRECT']","(this afternoon, TIME)"
5,1,definitely and thank you for calling australia post load and go support,"['CAUSE', 'ACK_POS', 'INTRODUCE_COMPANY', 'THANK_DIRECT']",
5,1,you have a wonderful day andrew,['BYE_FORMAL'],
5,1,bye bye,['BYE_FORMAL'],
5,2,s,[],
5,2,alright thank you,"['THANK_DIRECT', 'ACK_POS']",
5,2,bye bye,['BYE_FORMAL'],
6,1,welcome to australia post load and go support my names archie i have your card id number please,"['NUMBER', 'VERIFY_DETAIL', 'CARD', 'INTRODUCE_COMPANY']","(Australia, GPE),(Archie, PERSON)"
6,2,yeah,['ACCEPT_POS'],
6,1,i am sorry can i have the in the back please it is the,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'REFUSE_DIRECT', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT']",
6,2,the,[],
6,2,this is digit for,"['CAUSE', 'INTRODUCE_SELF', 'INTRODUCE_COMPANY']","(Three, CARDINAL)"
6,1,thank you so much and let me go ahead and pull up the account moment please,"['EFFECT', 'OFFER_DIRECT', 'VERIFY_DETAIL', 'ACCOUNT', 'THANK_DIRECT']",
6,2,alright,['ACK_POS'],
6,1,can i have the access code,"['OFFER_DIRECT', 'VERIFY_DETAIL', 'ACCESS_CODE']",
6,1,please it is the digit number,"['VERIFY_DETAIL', 'INTRODUCE_SELF', 'NUMBER']",
6,2,on the of the second,['HOLD_DIRECT'],
6,1,i am sorry the access code,"['REFUSE_DIRECT', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT', 'ACCESS_CODE']",
6,2,i did not get access access but that is that the,"['VERIFY_DETAIL', 'CONDITION_DIRECT', 'NEGATE_DIRECT', 'EFFECT']",
6,1,the access code is the digit number you nominate when you purchased the card,"['CONDITION_DIRECT', 'CARD', 'NUMBER', 'ACCESS_CODE']",
6,2,yes,['ACCEPT_POS'],
6,1,oh thank you so much and how can help you today,"['EFFECT', 'HESITATE_DIRECT', 'NEGATE_DIRECT', 'THANK_DIRECT']","(today, DATE)"
6,2,i am used this card once and they got the money taken that and then the ladies try because put some other stuff that i just tried to get it out and explain the put in they the pin did not match that but the date ties of the cad,"['CONDITION_DIRECT', 'ALTERNATIVE_DIRECT', 'EFFECT', 'DATE', 'CAUSE', 'INTRODUCE_SELF', 'NEGATE_DIRECT', 'CARD']",
6,2,i know i try to pay when it on papal,['CONDITION_DIRECT'],
6,2,and it is telling me that it is not a matching at this card number and it is like i have got money i have got and i think about on it is a quick on that yesterday,"['GUESS_DIRECT', 'CARD', 'NEGATE_DIRECT', 'INTRODUCE_SELF']","(yesterday, DATE)"
6,2,and i,[],
6,1,yeah i can definitely see that here you actually have a balance,"['ACK_POS', 'ACCEPT_POS']",
6,1,well right now you actually have,"['CAUSE', 'EFFECT', 'ACCEPT_POS']",
6,2,right on the,['ACCEPT_POS'],
6,2,so money come out of it,['EFFECT'],
6,1,yes um i believe you are referring to the cents,"['DESIRE_DIRECT', 'ACCEPT_POS', 'HESITATE_DIRECT']",
6,1,he,[],
6,2,said yes and could you have here in,['ACCEPT_POS'],
6,1,so after that he now have,"['CAUSE', 'EFFECT', 'INIT_DIRECT_MID']",
6,2,so that when you got,"['CONDITION_DIRECT', 'EFFECT']",
6,1,yeah it goes,['ACCEPT_POS'],
6,2,so when did it gt through,"['CAUSE', 'CONDITION_DIRECT', 'EFFECT']",
6,1,correct,['ACCEPT_POS'],
6,2,so when you did it got through,"['CAUSE', 'CONDITION_DIRECT', 'EFFECT']",
6,1,i am sorry,"['REFUSE_DIRECT', 'PARDON_DIRECT', 'INTRODUCE_SELF', 'NEGATE_DIRECT']",
6,2,when did it got through yesterday,"['CAUSE', 'CONDITION_DIRECT']","(yesterday, DATE)"
6,1,yesterday,[],"(Yesterday August, DATE)"
6,2,okay sorry,"['PARDON_DIRECT', 'ACCEPT_POS', 'NEGATE_DIRECT']",
6,2,okay,['ACCEPT_POS'],
6,2,thank you,['THANK_DIRECT'],
6,2,because i tried yesterday and it did not go through but thank you for how much is it my balance,"['CONDITION_DIRECT', 'EFFECT', 'CAUSE', 'NEGATE_DIRECT', 'THANK_DIRECT']","(yesterday, DATE)"
6,1,right now you only have after that cents the purchase transaction,"['CAUSE', 'ACCEPT_POS', 'INIT_DIRECT_MID']",
6,2,alright okay,"['ACK_POS', 'ACCEPT_POS']",
6,2,thank you so much for that,"['EFFECT', 'CAUSE', 'THANK_DIRECT']",
6,2,you are,[],
6,1,very welcome,['INTRODUCE_COMPANY'],
6,1,thank you for calling australia post,"['CAUSE', 'INTRODUCE_COMPANY', 'THANK_DIRECT']","(Australia, GPE)"
6,2,load and go support,[],
6,2,bye,['BYE_FORMAL'],
6,1,bye bye,['BYE_FORMAL'],
6,2,a bye,['BYE_FORMAL'],
7,1,hello,['GREET_FORMAL'],
7,2,hi lucy this is omar from australia post load and go support,"['INTRODUCE_SELF', 'INTRODUCE_COMPANY', 'GREET_FORMAL']","(Lucy, PERSON),(Omar, PERSON),(Australia, GPE)"
7,2,i am calling you in regards to the reissue of your card,"['CAUSE', 'INTRODUCE_SELF', 'CARD', 'INTRODUCE_COMPANY']",
7,1,oh yes,"['ACCEPT_POS', 'HESITATE_DIRECT', 'NEGATE_DIRECT']",
7,2,yes lucy i want to apologize i have made a mistake on the reissue of your card when you talk together,"['CONDITION_DIRECT', 'ADMIT_MISTAKE', 'DESIRE_DIRECT', 'CARD', 'ACCEPT_POS']","(Lucy, PERSON)"
7,2,days ago,['CAUSE'],"(Two days ago, DATE)"
7,1,yeah,['ACCEPT_POS'],
7,2,so i have reissued to see what,['EFFECT'],
7,1,are going to happen,[],
7,2,well,['EFFECT'],
7,2,i have reissued the same card with the same expiry date without updating it,"['CARD', 'DATE']",
7,2,so i am calling you to advise you that i will be reassuring the card today,"['INTRODUCE_SELF', 'CARD', 'EFFECT', 'INTRODUCE_COMPANY']","(today, DATE)"
7,2,with the right expiry date,"['ACCEPT_POS', 'DATE']",
7,2,so i am just giving you it is gonna be days late,"['INTRODUCE_SELF', 'EFFECT']","(days, DATE)"
7,2,because i have made this mistake and i do wanna apologize,"['CAUSE', 'ADMIT_MISTAKE']",
7,1,for it,['CAUSE'],
7,1,i do not know what is going to happen to all the money that i got it then,"['CONDITION_DIRECT', 'VERIFY_DETAIL', 'NEGATE_DIRECT', 'CLEAR_DIRECT']",
7,2,absolutely no worries,"['AGREE_DIRECT', 'ACK_POS', 'ACCEPT_POS', 'NEGATE_DIRECT']",
7,2,so it is going to be the same thing is just gonna be days late so when you receive your first card,"['CONDITION_DIRECT', 'CARD', 'EFFECT', 'INTRODUCE_SELF']","(first, ORDINAL)"
7,2,if you see the expiry date is the same as the old card,"['CONDITION_DIRECT', 'CARD', 'EFFECT', 'DATE']",
7,2,do not,['NEGATE_DIRECT'],
7,1,call for it call,['CAUSE'],
7,2,only when you see different expiry date,"['CONDITION_DIRECT', 'DATE']",
7,2,anymore more it is more a longer expired basically further,['INTRODUCE_SELF'],
7,1,expiry date,['DATE'],
7,1,okay otherwise i can still use the that i have got,['ACCEPT_POS'],
7,2,yes absolutely that will not change,"['AGREE_DIRECT', 'ACK_POS', 'ACCEPT_POS', 'NEGATE_DIRECT']",
7,2,so you will keep,['EFFECT'],
7,1,the but i just want to understand the what i have got is still valid,"['CONDITION_DIRECT', 'ACK_POS', 'EFFECT', 'DESIRE_DIRECT']",
7,1,surely at the end of the month,"['ACK_POS', 'DATE']","(the end of the month, DATE)"
7,2,until,['CONDITION_DIRECT'],"(August, DATE)"
7,1,yeah,['ACCEPT_POS'],
7,1,okay,['ACCEPT_POS'],
7,1,alright,['ACK_POS'],
7,1,so again i am,"['INTRODUCE_SELF', 'EFFECT', 'INIT_DIRECT_MID']",
7,2,just to reissue just to reassure the card do you have a moment with me just so i can fill out the information and reissue the card,"['VERIFY_DETAIL', 'CARD', 'EFFECT']",
7,1,yeah,['ACCEPT_POS'],
7,2,thank you very much lucy will not be long okay,"['HOLD_DIRECT', 'NEGATE_DIRECT', 'ACCEPT_POS', 'THANK_DIRECT']","(Lucy, PERSON)"
7,1,okay,['ACCEPT_POS'],
7,1,thank you,['THANK_DIRECT'],
7,2,already just to confirm the address with you again please,"['CAUSE', 'VERIFY_DETAIL', 'INIT_DIRECT_MID', 'CONFIRM_QUES', 'ADDRESS']",
7,1,yes,['ACCEPT_POS'],
7,1,crystal place cue dale,[],"(Crystal Place CUE, ORG)"
7,1,thank,['THANK_DIRECT'],
7,2,you,[],
7,2,so please cue dale,"['VERIFY_DETAIL', 'EFFECT']","(Dale, ORG)"
7,1,correct,['ACCEPT_POS'],
7,2,re assuring card,['CARD'],
7,2,again his please just reissue did not update,"['VERIFY_DETAIL', 'NEGATE_DIRECT', 'INIT_DIRECT_MID']",
7,1,expiry,[],
7,2,thank you very much patience and comprehension,['THANK_DIRECT'],
7,2,i do apologize again for my mistake,"['CAUSE', 'ADMIT_MISTAKE', 'INIT_DIRECT_MID']",
7,2,and i have just reissued the card right,"['CARD', 'ACCEPT_POS']",
