Call_ID,Speaker,Dialogue,Sentences,NounChunks,Co-Reference,Tags,PERSON,ORG,Bye,IntroduceCompany,Thank,Offer,KPI
3,1,Alright thanks bye.                                                                                                                                                                                                                                                                                                                  ,Alright thanks bye.                                                                                                                                                                                                                                                                                                                  ,Alright thanks,,"[('Alright', 'alright', 'NOUN', '', 'intj'), ('thanks', 'thank', 'NOUN', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,Thanks,,Mastered
3,2,Yeah                                                                                                                                                                                                                                                                                                                                 ,Yeah                                                                                                                                                                                                                                                                                                                                 ,,,"[('Yeah', 'yeah', 'INTJ', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
4,1,That.                                                                                                                                                                                                                                                                                                                                ,That.                                                                                                                                                                                                                                                                                                                                ,,,"[('That', 'that', 'DET', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
4,1,Thank you.                                                                                                                                                                                                                                                                                                                           ,Thank you.                                                                                                                                                                                                                                                                                                                           ,you,,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thank you,,Mastered
4,2,And thank you for calling australia post load and go support and I hope you have a great day.                                                                                                                                                                                                                                        ,"And thank you for calling australia post load and go support,and I hope you have a great day.                                                                                                                                                                                                                                        ","you,australia post load,support,I,you,a great day",,"[('And', 'and', 'CCONJ', '', 'cc'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('australia', 'australia', 'NOUN', '', 'compound'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('hope', 'hope', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ccomp'), ('a', 'a', 'DET', '', 'det'), ('great', 'great', 'ADJ', '', 'amod'), ('day', 'day', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Have a great day,Thank you for calling,Thank you for calling,,Mastered
4,1,You too thanks.                                                                                                                                                                                                                                                                                                                      ,You too thanks.                                                                                                                                                                                                                                                                                                                      ,You,,"[('You', '-PRON-', 'PRON', '', 'nsubj'), ('too', 'too', 'ADV', '', 'advmod'), ('thanks', 'thank', 'NOUN', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thanks,,Mastered
4,2,You're welcome.                                                                                                                                                                                                                                                                                                                      ,You're welcome.                                                                                                                                                                                                                                                                                                                      ,You,,"[('You', '-PRON-', 'PRON', '', 'nsubj'), (""'re"", 'be', 'VERB', '', 'ROOT'), ('welcome', 'welcome', 'ADJ', '', 'acomp'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,welcome,,,Mastered
4,2,Bye                                                                                                                                                                                                                                                                                                                                  ,Bye                                                                                                                                                                                                                                                                                                                                  ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
5,1,Definitely And thank you for calling australia post load and go support.                                                                                                                                                                                                                                                             ,"Definitely,And thank you for calling australia post load and go support.                                                                                                                                                                                                                                                             ","you,australia post load,support",,"[('Definitely', 'definitely', 'ADV', '', 'ROOT'), ('And', 'and', 'CCONJ', '', 'cc'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('australia', 'australia', 'NOUN', '', 'compound'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,Thank you for calling,Thank you for calling,,Mastered
5,1,You have a wonderful day Andrew.                                                                                                                                                                                                                                                                                                     ,You have a wonderful day Andrew.                                                                                                                                                                                                                                                                                                     ,"You,a wonderful day,Andrew",,"[('You', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ROOT'), ('a', 'a', 'DET', '', 'det'), ('wonderful', 'wonderful', 'ADJ', '', 'amod'), ('day', 'day', 'NOUN', '', 'dobj'), ('Andrew', 'Andrew', 'PROPN', 'PERSON', 'appos'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Andrew,,Have a wonderful day,,,,Mastered
5,1,Bye bye.                                                                                                                                                                                                                                                                                                                             ,Bye bye.                                                                                                                                                                                                                                                                                                                             ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
5,2,'s.                                                                                                                                                                                                                                                                                                                                  ,"',s.                                                                                                                                                                                                                                                                                                                                  ",,,"[(""'"", ""'"", 'PUNCT', '', 'ROOT'), ('s.', 's.', 'ADV', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
5,2,Alright thank you.                                                                                                                                                                                                                                                                                                                   ,Alright thank you.                                                                                                                                                                                                                                                                                                                   ,you,,"[('Alright', 'alright', 'INTJ', '', 'intj'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thank you,,Mastered
5,2,Bye bye                                                                                                                                                                                                                                                                                                                              ,Bye bye                                                                                                                                                                                                                                                                                                                              ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
6,1,Very welcome.                                                                                                                                                                                                                                                                                                                        ,Very welcome.                                                                                                                                                                                                                                                                                                                        ,,,"[('Very', 'very', 'ADV', '', 'advmod'), ('welcome', 'welcome', 'ADJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,welcome,,,Mastered
6,1,Thank you for calling Australia post                                                                                                                                                                                                                                                                                                 ,Thank you for calling Australia post                                                                                                                                                                                                                                                                                                 ,"you,Australia",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('Australia', 'Australia', 'PROPN', 'GPE', 'dobj'), ('post', 'post', 'NOUN', '', 'oprd'), (' ', ' ', 'SPACE', '', '')]",,,,Thank you for calling,Thank you for calling,,Mastered
6,2,load and go support                                                                                                                                                                                                                                                                                                                  ,load and go support                                                                                                                                                                                                                                                                                                                  ,"load,support",,"[('load', 'load', 'NOUN', '', 'ROOT'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
6,2,Bye.                                                                                                                                                                                                                                                                                                                                 ,Bye.                                                                                                                                                                                                                                                                                                                                 ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
6,1,Bye bye.                                                                                                                                                                                                                                                                                                                             ,Bye bye.                                                                                                                                                                                                                                                                                                                             ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
6,2,A bye                                                                                                                                                                                                                                                                                                                                ,A bye                                                                                                                                                                                                                                                                                                                                ,A bye,,"[('A', 'a', 'DET', '', 'det'), ('bye', 'bye', 'NOUN', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
7,1,Hello hello.                                                                                                                                                                                                                                                                                                                         ,Hello hello.                                                                                                                                                                                                                                                                                                                         ,,,"[('Hello', 'hello', 'INTJ', '', 'ROOT'), ('hello', 'hello', 'INTJ', '', 'intj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
7,2,No worries Lucy thank you for calling australia post load and go and have a great                                                                                                                                                                                                                                                    ,"No worries,Lucy thank you for calling australia post load and go and have a great                                                                                                                                                                                                                                                    ","No worries,Lucy,you,australia post load",,"[('No', 'no', 'DET', '', 'det'), ('worries', 'worry', 'NOUN', '', 'ROOT'), ('Lucy', 'Lucy', 'PROPN', 'PERSON', 'nsubj'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('australia', 'australia', 'NOUN', '', 'compound'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('and', 'and', 'CCONJ', '', 'cc'), ('have', 'have', 'VERB', '', 'conj'), ('a', 'a', 'DET', '', 'det'), ('great', 'great', 'ADJ', '', 'dobj'), (' ', ' ', 'SPACE', '', '')]",Lucy,,,Thank you for calling,Thank you for calling,,Mastered
7,1,Day.                                                                                                                                                                                                                                                                                                                                 ,Day.                                                                                                                                                                                                                                                                                                                                 ,Day,,"[('Day', 'day', 'NOUN', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
7,1,Bye bye.                                                                                                                                                                                                                                                                                                                             ,Bye bye.                                                                                                                                                                                                                                                                                                                             ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
7,1,Bye bye.                                                                                                                                                                                                                                                                                                                             ,Bye bye.                                                                                                                                                                                                                                                                                                                             ,,,"[('Bye', 'bye', 'VERB', '', 'ROOT'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,,,Mastered
7,1,'s                                                                                                                                                                                                                                                                                                                                   ,'s                                                                                                                                                                                                                                                                                                                                   ,,,"[(""'s"", ""'s"", 'PART', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
8,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,Yeah.                                                                                                                                                                                                                                                                                                                                ,,,"[('Yeah', 'yeah', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
8,1,Okay then.                                                                                                                                                                                                                                                                                                                           ,Okay then.                                                                                                                                                                                                                                                                                                                           ,,,"[('Okay', 'okay', 'INTJ', '', 'intj'), ('then', 'then', 'ADV', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
8,2,Thank you very much for your comprehension and I wish you a great day Fiona.                                                                                                                                                                                                                                                         ,Thank you very much for your comprehension and I wish you a great day Fiona.                                                                                                                                                                                                                                                         ,"you,your comprehension,I,you,a great day,Fiona",,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('very', 'very', 'ADV', '', 'advmod'), ('much', 'much', 'ADV', '', 'advmod'), ('for', 'for', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('comprehension', 'comprehension', 'NOUN', '', 'pobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('wish', 'wish', 'VERB', '', 'conj'), ('you', '-PRON-', 'PRON', '', 'dative'), ('a', 'a', 'DET', '', 'det'), ('great', 'great', 'ADJ', '', 'amod'), ('day', 'day', 'NOUN', '', 'dobj'), ('Fiona', 'Fiona', 'PROPN', 'DATE', 'appos'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thank you very much,,Mastered
8,1,Ok then thank you.                                                                                                                                                                                                                                                                                                                   ,Ok then thank you.                                                                                                                                                                                                                                                                                                                   ,you,,"[('Ok', 'ok', 'INTJ', '', 'intj'), ('then', 'then', 'ADV', '', 'advmod'), ('thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Thank you,,Mastered
8,1,Thank you bye bye.                                                                                                                                                                                                                                                                                                                   ,Thank you bye bye.                                                                                                                                                                                                                                                                                                                   ,you,,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('bye', 'bye', 'INTJ', '', 'ccomp'), ('bye', 'bye', 'INTJ', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Bye Bye,,Thank you,,Mastered
8,1,Bye                                                                                                                                                                                                                                                                                                                                  ,Bye                                                                                                                                                                                                                                                                                                                                  ,,,"[('Bye', 'bye', 'INTJ', '', 'ROOT'), (' ', ' ', 'SPACE', '', '')]",,,Bye,,,,Mastered
9,1,The person you have a called is not available please leave a short #  seconds message after the tone.                                                                                                                                                                                                                                ,The person you have a called is not available please leave a short #  seconds message after the tone.                                                                                                                                                                                                                                ,"The person,you,message,the tone",,"[('The', 'the', 'DET', '', 'det'), ('person', 'person', 'NOUN', '', 'nsubj'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'relcl'), ('a', 'a', 'DET', '', 'det'), ('called', 'call', 'VERB', '', 'dobj'), ('is', 'be', 'VERB', '', 'ROOT'), ('not', 'not', 'ADV', '', 'neg'), ('available', 'available', 'ADJ', '', 'acomp'), ('please', 'please', 'INTJ', '', 'intj'), ('leave', 'leave', 'VERB', '', 'conj'), ('a', 'a', 'DET', 'MONEY', 'det'), ('short', 'short', 'ADJ', 'MONEY', 'amod'), ('#', '#', 'SYM', 'MONEY', 'dobj'), (' ', ' ', 'SPACE', 'MONEY', ''), ('seconds', 'second', 'NOUN', 'MONEY', 'dep'), ('message', 'message', 'NOUN', '', 'dobj'), ('after', 'after', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('tone', 'tone', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,called,,,Mastered
9,1,And we will send the message as a text.                                                                                                                                                                                                                                                                                                ,And we will send the message as a text.                                                                                                                                                                                                                                                                                                ,"we,the message,a text",,"[('And', 'and', 'CCONJ', '', 'cc'), ('we', '-PRON-', 'PRON', '', 'nsubj'), ('will', 'will', 'VERB', '', 'aux'), ('send', 'send', 'VERB', '', 'ROOT'), ('the', 'the', 'DET', '', 'det'), ('message', 'message', 'NOUN', '', 'dobj'), ('as', 'as', 'ADP', '', 'prep'), ('a', 'a', 'DET', '', 'det'), ('text', 'text', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
9,2,Hey Alison this is ghulam I'm calling from Australia post load and go support.                                                                                                                                                                                                                                                       ,Hey Alison this is ghulam I'm calling from Australia post load and go support.                                                                                                                                                                                                                                                       ,"ghulam,I,Australia,post load,support",,"[('Hey', 'Hey', 'PROPN', '', 'intj'), ('Alison', 'Alison', 'PROPN', 'PERSON', 'npadvmod'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('ghulam', 'ghulam', 'NOUN', '', 'attr'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('calling', 'call', 'VERB', '', 'relcl'), ('from', 'from', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Alison,,,"This is,calling,from",,,Mastered
9,2,I'm at your earliest convenience can you please get in touch with us                                                                                                                                                                                                                                                                 ,"I'm at your earliest convenience,can you please get in touch with us                                                                                                                                                                                                                                                                 ","I,your earliest convenience,you,touch,us",,"[('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'ROOT'), ('at', 'at', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('earliest', 'early', 'ADJ', '', 'amod'), ('convenience', 'convenience', 'NOUN', '', 'pobj'), ('can', 'can', 'VERB', '', 'aux'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('please', 'please', 'INTJ', '', 'intj'), ('get', 'get', 'VERB', '', 'ROOT'), ('in', 'in', 'ADP', '', 'prep'), ('touch', 'touch', 'NOUN', '', 'pobj'), ('with', 'with', 'ADP', '', 'prep'), ('us', '-PRON-', 'PRON', '', 'pobj'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
