Call_ID                             ,Speaker,Conversation                                                                                                                                                                                                                                                                                                                         ,Start,End
1,2,You will not get decline                                                                                                                                                                                                                                                                                                             ,107,108
1,1,Go yeah.                                                                                                                                                                                                                                                                                                                             ,109,110
1,1,it was just that the girl at the shop must've put in the 26 instead of the 24th.                                                                                                                                                                                                                                                     ,111,113
1,2,Correct                                                                                                                                                                                                                                                                                                                              ,114,116
1,1,Yeah.                                                                                                                                                                                                                                                                                                                                ,117,118
1,1,25 you know otherwise just because yeah I thought it was very strange.                                                                                                                                                                                                                                                               ,119,120
1,1,Like I said now and I when I when I use my next card.                                                                                                                                                                                                                                                                                ,121,125
1,1,I know what to do                                                                                                                                                                                                                                                                                                                    ,126,129
1,1,Thank you for that anyway.                                                                                                                                                                                                                                                                                                           ,130,131
1,1,Your all welcome                                                                                                                                                                                                                                                                                                                     ,132,136
1,2,Is there anything else I can help you more.                                                                                                                                                                                                                                                                                          ,137,139
1,1,No I that's a lot that.                                                                                                                                                                                                                                                                                                              ,140,142
1,2,Thank you very much for your call and having a wonderful day.                                                                                                                                                                                                                                                                        ,143,144
1,2,Bye.                                                                                                                                                                                                                                                                                                                                 ,145,148
1,1,Okay.                                                                                                                                                                                                                                                                                                                                ,149,153
1,1,Bye                                                                                                                                                                                                                                                                                                                                  ,154,156
2,1,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.                                                                                                                                                                                                                                 ,1,13
2,2,yes is that the straight digit.                                                                                                                                                                                                                                                                                                      ,14,15
2,1,No it's the 16 digit number on the back of your card please.                                                                                                                                                                                                                                                                         ,16,18
2,2,Okay.                                                                                                                                                                                                                                                                                                                                ,19,23
2,2,2,24,27
2,1,Four                                                                                                                                                                                                                                                                                                                                 ,28,32
2,2,36379775951302,33,36
2,1,02 is the last two digit number.                                                                                                                                                                                                                                                                                                     ,37,39
2,2,Yes.                                                                                                                                                                                                                                                                                                                                 ,40,43
2,1,Okay thank you so much let me go ahead and pull up the account one moment.                                                                                                                                                                                                                                                           ,44,46
2,2,Okay.                                                                                                                                                                                                                                                                                                                                ,47,51
2,1,Can I have the access code please it's the six digit number you nominate.                                                                                                                                                                                                                                                            ,52,54
2,1,When you purchase the card.                                                                                                                                                                                                                                                                                                          ,55,59
2,2,0 22121.                                                                                                                                                                                                                                                                                                                             ,60,62
2,1,Thank you so much and how can help you today Tammy.                                                                                                                                                                                                                                                                                  ,63,64
2,2,Ah Yes.                                                                                                                                                                                                                                                                                                                              ,65,67
2,2,Oh I realize I hadn't changed.                                                                                                                                                                                                                                                                                                       ,68,69
2,2,I updated my address.                                                                                                                                                                                                                                                                                                                ,70,74
2,2,So when the cards renewed it's going to my old address                                                                                                                                                                                                                                                                               ,75,79
2,1,I'm so sorry for that but let me verify your address is it still 2022.                                                                                                                                                                                                                                                               ,80,85
2,1,Pauler up                                                                                                                                                                                                                                                                                                                            ,86,88
2,1,Grover Waikiki western Australia 6169.                                                                                                                                                                                                                                                                                               ,89,92
2,2,That's the new address I just changed it today.                                                                                                                                                                                                                                                                                      ,93,96
2,1,Okay so I can see here.                                                                                                                                                                                                                                                                                                              ,97,100
2,1,The new card is already in transit.                                                                                                                                                                                                                                                                                                  ,101,102
2,1,You should be able to receive that one either tomorrow or the next couple of days.                                                                                                                                                                                                                                                   ,103,106
2,2,So even though I've only just changed it like 20 minutes ago to come to this address now.                                                                                                                                                                                                                                            ,107,112
2,2,We'll have to go to look came back.                                                                                                                                                                                                                                                                                                  ,113,114
2,1,No no no definitely able to go through to that address because our personal will actually check from time to time.                                                                                                                                                                                                                   ,115,117
2,1,Um the address.                                                                                                                                                                                                                                                                                                                      ,118,122
2,1,If it's already up                                                                                                                                                                                                                                                                                                                   ,123,125
2,2,oh thanks.                                                                                                                                                                                                                                                                                                                           ,126,127
2,1,Okay.                                                                                                                                                                                                                                                                                                                                ,128,133
2,2,Oh great.                                                                                                                                                                                                                                                                                                                            ,134,135
2,2,Thank you so much.                                                                                                                                                                                                                                                                                                                   ,136,140
2,1,You're very welcome Tammy.                                                                                                                                                                                                                                                                                                           ,141,143
2,1,Thank you for calling Australia post load and go support.                                                                                                                                                                                                                                                                            ,144,149
2,1,You have a wonderful day.                                                                                                                                                                                                                                                                                                            ,150,153
2,1,Bye-bye.                                                                                                                                                                                                                                                                                                                             ,154,158
2,2,You to.                                                                                                                                                                                                                                                                                                                              ,159,163
2,2,Bye.                                                                                                                                                                                                                                                                                                                                 ,164,168
2,2,Bye                                                                                                                                                                                                                                                                                                                                  ,169,174
3,1,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.                                                                                                                                                                                                                                ,1,10
3,2,Yes sure Matthew it's                                                                                                                                                                                                                                                                                                                ,11,14
3,1,2436,15,18
3,1,Okay.                                                                                                                                                                                                                                                                                                                                ,19,21
3,2,3797,22,27
3,2,Alright.                                                                                                                                                                                                                                                                                                                             ,28,30
3,2,228,31,35
3,1,Five                                                                                                                                                                                                                                                                                                                                 ,36,41
3,2,7057,42,45
3,1,Thank you.                                                                                                                                                                                                                                                                                                                           ,46,51
3,1,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,52,53
3,1,Alright.                                                                                                                                                                                                                                                                                                                             ,54,59
3,1,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,60,64
3,2,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,65,66
3,1,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,67,72
3,2,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,73,77
3,1,Yes please                                                                                                                                                                                                                                                                                                                           ,78,81
3,2,or you 310877.                                                                                                                                                                                                                                                                                                                       ,82,84
3,1,Perfect.                                                                                                                                                                                                                                                                                                                             ,85,89
3,1,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,90,91
3,2,I put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,92,95
3,1,Just give me a second.                                                                                                                                                                                                                                                                                                               ,96,99
3,1,I saw that go through yeah that went through on the 15th.                                                                                                                                                                                                                                                                            ,100,102
3,2,yep the 800 was it.                                                                                                                                                                                                                                                                                                                  ,103,104
3,1,Yes $800 and has it been                                                                                                                                                                                                                                                                                                             ,105,110
3,2,Something else taking out of that apart from the IG stuff it's been over a $600 amount taking out from booked holiday house and I'm wondering if that's come out to because                                                                                                                                                          ,111,112
3,1,Stays.                                                                                                                                                                                                                                                                                                                               ,113,118
3,1,'s Bob and stop .                                                                                                                                                                                                                                                                                                                    ,119,120
3,1,Five 7120                                                                                                                                                                                                                                                                                                                            ,121,122
3,2,Five 7121 did that come out yesterday.                                                                                                                                                                                                                                                                                               ,123,124
3,1,that came out                                                                                                                                                                                                                                                                                                                        ,125,127
3,1,Interesting.                                                                                                                                                                                                                                                                                                                         ,128,130
3,1,A 09 hours later.                                                                                                                                                                                                                                                                                                                    ,131,135
3,1,So yes.                                                                                                                                                                                                                                                                                                                              ,136,141
3,1,Yet                                                                                                                                                                                                                                                                                                                                  ,142,144
3,2,From space.                                                                                                                                                                                                                                                                                                                          ,145,148
3,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,149,151
3,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,152,157
3,2,So that did go out.                                                                                                                                                                                                                                                                                                                  ,158,160
3,2,Okay thank you very much that that's all I need tonight.                                                                                                                                                                                                                                                                             ,161,163
3,1,Alright perfect is there anything else I can assist today.                                                                                                                                                                                                                                                                           ,164,165
3,2,no thats all  thanks Matthew                                                                                                                                                                                                                                                                                                         ,166,170
3,1,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation                                                                                                                                                                                                                                   ,171,175
3,2,yeah.                                                                                                                                                                                                                                                                                                                                ,176,178
3,2,Thank you you too bye-bye.                                                                                                                                                                                                                                                                                                           ,179,183
3,1,Alright thanks bye.                                                                                                                                                                                                                                                                                                                  ,184,187
3,2,Yeah                                                                                                                                                                                                                                                                                                                                 ,188,190
4,1,But my thing.                                                                                                                                                                                                                                                                                                                        ,1,2
4,2,Welcome to australia post load and go support this is Matthew.                                                                                                                                                                                                                                                                       ,3,5
4,2,May I Please have your card ID number                                                                                                                                                                                                                                                                                                ,6,7
4,1,2436,8,12
4,2,Okay.                                                                                                                                                                                                                                                                                                                                ,13,14
4,1,3797,15,16
4,2,Okay.                                                                                                                                                                                                                                                                                                                                ,17,20
4,1,81 66.                                                                                                                                                                                                                                                                                                                               ,21,22
4,2,Okay.                                                                                                                                                                                                                                                                                                                                ,23,26
4,1,6613,27,30
4,2,6613,31,34
4,2,Thank you.                                                                                                                                                                                                                                                                                                                           ,35,38
4,2,Alright can I get your name please.                                                                                                                                                                                                                                                                                                  ,39,40
4,1,kela.                                                                                                                                                                                                                                                                                                                                ,41,46
