ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
1,2,142,151,Ms. Graham.,Ms. Graham.,Ms. Graham.,Ms. Graham.,Ms. Graham.,Ms Graham,ms graham,ms graham ,ms graham 
1,1,160,165,Yes hello.,Yes hello.,Yes hello.,Yes hello.,Yes hello.,Yes hello,yes hello,yes hello ,yes hello 
1,1,173,178,I'm activated I got a couple of cards  in the Mile.,I'm activated I got a couple of cards  in the Mile.,I'm activated I got a couple of cards  in the Mile.,I'm activated I got a couple of cards  in the Mile.,I'm activated I got a couple of cards  in the Mile.,Im activated I got a couple of cards  in the Mile,im activated i got a couple of cards  in the mile,im activated got couple cards mile ,im activate get couple card mile 
1,1,187,194,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,I'm activated the $#  #  I went to use that the whole $#  #  and then it said it was the declined straight away and then obviously $# .#  came out and then I tried to put in #  #  and then it said it was declined again and then another $# .#  charge that an adult #  obviously for the phone call but yeah why is that happening,I'm activated the $#  #  I went to use that the whole $#  #  and then it said it was the declined straight away and then obviously $# .#  came out and then I tried to put in #  #  and then it said it was declined again and then another $# .#  charge that an adult #  obviously for the phone call but yeah why is that happening,Im activated the     I went to use that the whole     and then it said it was the declined straight away and then obviously    came out and then I tried to put in     and then it said it was declined again and then another    charge that an adult   obviously for the phone call but yeah why is that happening,im activated the     i went to use that the whole     and then it said it was the declined straight away and then obviously    came out and then i tried to put in     and then it said it was declined again and then another    charge that an adult   obviously for the phone call but yeah why is that happening,im activated went use whole said declined straight away obviously came tried put said declined another charge adult obviously phone call yeah happening ,im activate go use whole say decline straight away obviously come try put say decline another charge adult obviously phone call yeah happen 
1,2,199,209,Well I can see the very first time you just try to make a purchase for $26.,Well I can see the very first time you just try to make a purchase for $26.,Well I can see the very first time you just try to make a purchase for $26.,Well I can see the very first time you just try to make a purchase for $# .,Well I can see the very first time you just try to make a purchase for $# .,Well I can see the very first time you just try to make a purchase for  ,well i can see the very first time you just try to make a purchase for  ,well see first time try make purchase  ,well see first time try make purchase 
1,2,219,223,As you know you would just have,As you know you would just have,As you know you would just have,As you know you would just have,As you know you would just have,As you know you would just have,as you know you would just have,know would ,know would 
1,1,228,234,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see,That was a lady yeah I said put #  that and I'll put the the other  dollar on cash I see,That was a lady yeah I said put #  that and I'll put the the other  dollar on cash I see,That was a lady yeah I said put   that and Ill put the the other  dollar on cash I see,that was a lady yeah i said put   that and ill put the the other  dollar on cash i see,lady yeah said put ill put dollar cash see ,lady yeah say put ill put dollar cash see 
1,2,237,239,The,The,The,The,The,The,the,,
1,1,244,254,Best trends that you and that's,Best trends that you and that's,Best trends that you and that is,Best trends that you and that is,Best trends that you and that is,Best trends that you and that is,best trends that you and that is,best trends ,best trend 
1,2,257,258,And the second time she swiped  it for $25.,And the second time she swiped  it for $25.,And the second time she swiped  it for $25.,And the second time she swiped  it for $# .,And the second time she swiped  it for $# .,And the second time she swiped  it for  ,and the second time she swiped  it for  ,second time swiped  ,second time swipe 
1,2,268,269,Again you have like 2485 at that time.,Again you have like 2485 at that time.,Again you have like 2485 at that time.,Again you have like #  at that time.,Again you have like #  at that time.,Again you have like   at that time,again you have like   at that time,like time ,like time 
1,2,279,285,You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,You have been declined again yeah and now you have just #  so just make a purchase according to your available balance.,You have been declined again yeah and now you have just #  so just make a purchase according to your available balance.,You have been declined again yeah and now you have just   so just make a purchase according to your available balance,you have been declined again yeah and now you have just   so just make a purchase according to your available balance,declined yeah make purchase according available balance ,decline yeah make purchase accord available balance 
1,2,286,291,You will not get decline,You will not get decline,You will not get decline,You will not get decline,You will not get decline,You will not get decline,you will not get decline,get decline ,get decline 
1,1,300,306,Go yeah.,Go yeah.,Go yeah.,Go yeah.,Go yeah.,Go yeah,go yeah,go yeah ,go yeah 
1,1,316,320,it was just that the girl at the shop must've put in the 26 instead of the 24th.,it was just that the girl at the shop must've put in the 26 instead of the 24th.,it was just that the girl at the shop must have put in the 26 instead of the 24th.,it was just that the girl at the shop must have put in the #  instead of the # .,it was just that the girl at the shop must have put in the #  instead of the # .,it was just that the girl at the shop must have put in the   instead of the  ,it was just that the girl at the shop must have put in the   instead of the  ,girl shop must put instead  ,girl shop must put instead 
1,2,329,336,Correct,Correct,Correct,Correct,Correct,Correct,correct,correct ,correct 
1,1,337,342,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
1,1,343,347,25 you know otherwise just because yeah I thought it was very strange.,25 you know otherwise just because yeah I thought it was very strange.,25 you know otherwise just because yeah I thought it was very strange.,#  you know otherwise just because yeah I thought it was very strange.,#  you know otherwise just because yeah I thought it was very strange.,  you know otherwise just because yeah I thought it was very strange,  you know otherwise just because yeah i thought it was very strange, know otherwise yeah thought strange , know otherwise yeah think strange 
1,1,357,358,Like I said now and I when I when I use my next card.,Like I said now and I when I when I use my next card.,Like I said now and I when I when I use my next card.,Like I said now and I when I when I use my next card.,Like I said now and I when I when I use my next card.,Like I said now and I when I when I use my next card,like i said now and i when i when i use my next card,like said use next card ,like say use next card 
1,1,361,362,I know what to do,I know what to do,I know what to do,I know what to do,I know what to do,I know what to do,i know what to do,know ,know 
1,1,371,373,Thank you for that anyway.,Thank you for that anyway.,Thank you for that anyway.,Thank you for that anyway.,Thank you for that anyway.,Thank you for that anyway,thank you for that anyway,thank anyway ,thank anyway 
1,1,377,386,Your all welcome,Your all welcome,Your all welcome,Your all welcome,Your all welcome,Your all welcome,your all welcome,welcome ,welcome 
1,2,389,399,Is there anything else I can help you more.,Is there anything else I can help you more.,Is there anything else I can help you more.,Is there anything else I can help you more.,Is there anything else I can help you more.,Is there anything else I can help you more,is there anything else i can help you more,anything else help ,anything else help 
1,1,400,406,No I that's a lot that.,No I that's a lot that.,No I that is a lot that.,No I that is a lot that.,No I that is a lot that.,No I that is a lot that,no i that is a lot that,lot ,lot 
1,2,413,420,Thank you very much for your call and having a wonderful day.,Thank you very much for your call and having a wonderful day.,Thank you very much for your call and having a wonderful day.,Thank you very much for your call and having a wonderful day.,Thank you very much for your call and having a wonderful day.,Thank you very much for your call and having a wonderful day,thank you very much for your call and having a wonderful day,thank much call wonderful day ,thank much call wonderful day 
1,2,422,431,Bye.,Bye.,Bye.,Bye.,Bye.,Bye,bye,bye ,bye 
1,1,436,440,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
1,1,449,454,Bye,Bye,Bye,Bye,Bye,Bye,bye,bye ,bye 
2,1,1,3,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.,Welcome to Australia Post load and go support my name is Archie #  have your card ID number please.,Welcome to Australia Post load and go support my name is Archie #  have your card ID number please.,Welcome to Australia Post load and go support my name is Archie   have your card ID number please,welcome to australia post load and go support my name is archie   have your card id number please,welcome australia post load go support name archie card id number please ,welcome australia post load go support name archie card id number please 
2,2,7,9,yes is that the straight digit.,yes is that the straight digit.,yes is that the straight digit.,yes is that the straight digit.,yes is that the straight digit.,yes is that the straight digit,yes is that the straight digit,yes straight digit ,yes straight digit 
2,1,11,21,No it's the 16 digit number on the back of your card please.,No it's the 16 digit number on the back of your card please.,No it is the 16 digit number on the back of your card please.,No it is the #  digit number on the back of your card please.,No it is the #  digit number on the back of your card please.,No it is the   digit number on the back of your card please,no it is the   digit number on the back of your card please,digit number back card please ,digit number back card please 
2,2,23,31,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
2,2,34,37,2,2,2,# ,# , , ,  , 
2,1,46,49,Four,Four,Four,Four,Four,Four,four,four ,four 
2,2,50,59,36379775951302,36379775951302,36379775951302,# ,# , , ,  , 
2,1,60,63,02 is the last two digit number.,02 is the last two digit number.,02 is the last two digit number.,#  is the last #  digit number.,#  is the last #  digit number.,  is the last   digit number,  is the last   digit number, last digit number , last digit number 
2,2,65,67,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
2,1,73,75,Okay thank you so much let me go ahead and pull up the account one moment.,Okay thank you so much let me go ahead and pull up the account one moment.,Okay thank you so much let me go ahead and pull up the account one moment.,Okay thank you so much let me go ahead and pull up the account #  moment.,Okay thank you so much let me go ahead and pull up the account #  moment.,Okay thank you so much let me go ahead and pull up the account   moment,okay thank you so much let me go ahead and pull up the account   moment,okay thank much let go ahead pull account moment ,okay thank much let go ahead pull account moment 
2,2,80,89,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
2,1,90,100,Can I have the access code please it's the six digit number you nominate.,Can I have the access code please it's the six digit number you nominate.,Can I have the access code please it is the six digit number you nominate.,Can I have the access code please it is the #  digit number you nominate.,Can I have the access code please it is the #  digit number you nominate.,Can I have the access code please it is the   digit number you nominate,can i have the access code please it is the   digit number you nominate,access code please digit number nominate ,access code please digit number nominate 
2,1,102,110,When you purchase the card.,When you purchase the card.,When you purchase the card.,When you purchase the card.,When you purchase the card.,When you purchase the card,when you purchase the card,purchase card ,purchase card 
2,2,115,117,0 22121.,0 22121.,0 22121.,#  # .,#  # .,   ,   ,  , 
2,1,118,127,Thank you so much and how can help you today Tammy.,Thank you so much and how can help you today Tammy.,Thank you so much and how can help you today Tammy.,Thank you so much and how can help you today Tammy.,Thank you so much and how can help you today Tammy.,Thank you so much and how can help you today Tammy,thank you so much and how can help you today tammy,thank much help today tammy ,thank much help today tammy 
2,2,137,144,Ah Yes.,Ah Yes.,Ah Yes.,Ah Yes.,Ah Yes.,Ah Yes,ah yes,ah yes ,ah yes 
2,2,147,148,Oh I realize I hadn't changed.,Oh I realize I hadn't changed.,Oh I realize I had not changed.,Oh I realize I had not changed.,Oh I realize I had not changed.,Oh I realize I had not changed,oh i realize i had not changed,oh realize changed ,oh realize change 
2,2,149,150,I updated my address.,I updated my address.,I updated my address.,I updated my address.,I updated my address.,I updated my address,i updated my address,updated address ,update address 
2,2,155,158,So when the cards renewed it's going to my old address,So when the cards renewed it's going to my old address,So when the cards renewed it is going to my old address,So when the cards renewed it is going to my old address,So when the cards renewed it is going to my old address,So when the cards renewed it is going to my old address,so when the cards renewed it is going to my old address,cards renewed going old address ,card renew go old address 
2,1,163,172,I'm so sorry for that but let me verify your address is it still 2022.,I'm so sorry for that but let me verify your address is it still 2022.,I'm so sorry for that but let me verify your address is it still 2022.,I'm so sorry for that but let me verify your address is it still # .,I'm so sorry for that but let me verify your address is it still # .,Im so sorry for that but let me verify your address is it still  ,im so sorry for that but let me verify your address is it still  ,im sorry let verify address still  ,im sorry let verify address still 
2,1,178,188,Pauler up,Pauler up,Pauler up,Pauler up,Pauler up,Pauler up,pauler up,pauler ,pauler 
2,1,196,205,Grover Waikiki western Australia 6169.,Grover Waikiki western Australia 6169.,Grover Waikiki western Australia 6169.,Grover Waikiki western Australia # .,Grover Waikiki western Australia # .,Grover Waikiki western Australia  ,grover waikiki western australia  ,grover waikiki western australia  ,grover waikiki western australia 
2,2,207,209,That's the new address I just changed it today.,That's the new address I just changed it today.,That's the new address I just changed it today.,That's the new address I just changed it today.,That's the new address I just changed it today.,Thats the new address I just changed it today,thats the new address i just changed it today,thats new address changed today ,thats new address change today 
2,1,215,216,Okay so I can see here.,Okay so I can see here.,Okay so I can see here.,Okay so I can see here.,Okay so I can see here.,Okay so I can see here,okay so i can see here,okay see ,okay see 
2,1,223,227,The new card is already in transit.,The new card is already in transit.,The new card is already in transit.,The new card is already in transit.,The new card is already in transit.,The new card is already in transit,the new card is already in transit,new card already transit ,new card already transit 
2,1,235,243,You should be able to receive that one either tomorrow or the next couple of days.,You should be able to receive that one either tomorrow or the next couple of days.,You should be able to receive that one either tomorrow or the next couple of days.,You should be able to receive that #  either tomorrow or the next couple of days.,You should be able to receive that #  either tomorrow or the next couple of days.,You should be able to receive that   either tomorrow or the next couple of days,you should be able to receive that   either tomorrow or the next couple of days,able receive either tomorrow next couple days ,able receive either tomorrow next couple days 
2,2,253,260,So even though I've only just changed it like 20 minutes ago to come to this address now.,So even though I've only just changed it like 20 minutes ago to come to this address now.,So even though I've only just changed it like 20 minutes ago to come to this address now.,So even though I've only just changed it like #  minutes ago to come to this address now.,So even though I've only just changed it like #  minutes ago to come to this address now.,So even though Ive only just changed it like   minutes ago to come to this address now,so even though ive only just changed it like   minutes ago to come to this address now,even though ive changed like minutes ago come address ,even though ive change like minutes ago come address 
2,2,266,271,We'll have to go to look came back.,We'll have to go to look came back.,We'll have to go to look came back.,We'll have to go to look came back.,We'll have to go to look came back.,Well have to go to look came back,well have to go to look came back,well go look came back ,well go look come back 
2,1,279,284,No no no definitely able to go through to that address because our personal will actually check from time to time.,No no no definitely able to go through to that address because our personal will actually check from time to time.,No no no definitely able to go through to that address because our personal will actually check from time to time.,No no no definitely able to go through to that address because our personal will actually check from time to time.,No no no definitely able to go through to that address because our personal will actually check from time to time.,No no no definitely able to go through to that address because our personal will actually check from time to time,no no no definitely able to go through to that address because our personal will actually check from time to time,definitely able go address personal actually check time time ,definitely able go address personal actually check time time 
2,1,294,303,Um the address.,Um the address.,Um the address.,Um the address.,Um the address.,Um the address,um the address,um address ,um address 
2,1,307,311,If it's already up,If it's already up,If it is already up,If it is already up,If it is already up,If it is already up,if it is already up,already ,already 
2,2,314,321,oh thanks.,oh thanks.,oh thanks.,oh thanks.,oh thanks.,oh thanks,oh thanks,oh thanks ,oh thank 
2,1,328,334,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
2,2,337,341,Oh great.,Oh great.,Oh great.,Oh great.,Oh great.,Oh great,oh great,oh great ,oh great 
2,2,343,352,Thank you so much.,Thank you so much.,Thank you so much.,Thank you so much.,Thank you so much.,Thank you so much,thank you so much,thank much ,thank much 
2,1,360,369,You're very welcome Tammy.,You're very welcome Tammy.,You're very welcome Tammy.,You're very welcome Tammy.,You're very welcome Tammy.,Youre very welcome Tammy,youre very welcome tammy,youre welcome tammy ,youre welcome tammy 
2,1,373,376,Thank you for calling Australia post load and go support.,Thank you for calling Australia post load and go support.,Thank you for calling Australia post load and go support.,Thank you for calling Australia post load and go support.,Thank you for calling Australia post load and go support.,Thank you for calling Australia post load and go support,thank you for calling australia post load and go support,thank calling australia post load go support ,thank call australia post load go support 
2,1,379,385,You have a wonderful day.,You have a wonderful day.,You have a wonderful day.,You have a wonderful day.,You have a wonderful day.,You have a wonderful day,you have a wonderful day,wonderful day ,wonderful day 
2,1,389,397,Bye-bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye,bye bye,bye bye ,bye bye 
2,2,399,403,You to.,You to.,You to.,You to.,You to.,You to,you to,,
2,2,409,412,Bye.,Bye.,Bye.,Bye.,Bye.,Bye,bye,bye ,bye 
2,2,419,421,Bye,Bye,Bye,Bye,Bye,Bye,bye,bye ,bye 
3,1,1,9,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number,welcome to australia post load and go support this is matthew can i  please have your card id number,welcome australia post load go support matthew please card id number ,welcome australia post load go support matthew please card id number 
3,2,15,23,Yes sure Matthew it's,Yes sure Matthew it's,Yes sure Matthew it is,Yes sure Matthew it is,Yes sure Matthew it is,Yes sure Matthew it is,yes sure matthew it is,yes sure matthew ,yes sure matthew 
3,1,24,32,2436,2436,2436,# ,# , , ,  , 
3,1,38,41,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
3,2,50,53,3797,3797,3797,# ,# , , ,  , 
3,2,61,63,Alright.,Alright.,Alright.,Alright.,Alright.,Alright,alright,alright ,alright 
3,2,68,72,228,228,228,# ,# , , ,  , 
3,1,79,87,Five,Five,Five,Five,Five,Five,five,five ,five 
3,2,91,100,7057,7057,7057,# ,# , , ,  , 
3,1,103,110,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
3,1,113,121,'s take moment or so here to pull details.,'s take moment or so here to pull details.,'s take moment or so here to pull details.,'s take moment or so here to pull details.,'s take moment or so here to pull details.,s take moment or so here to pull details,s take moment or so here to pull details,take moment pull details ,take moment pull detail 
3,1,122,129,Alright.,Alright.,Alright.,Alright.,Alright.,Alright,alright,alright ,alright 
3,1,138,143,And can I get your name please.,And can I get your name please.,And can I get your name please.,And can I get your name please.,And can I get your name please.,And can I get your name please,and can i get your name please,get name please ,get name please 
3,2,152,153,Linda Johnson.,Linda Johnson.,Linda Johnson.,Linda Johnson.,Linda Johnson.,Linda Johnson,linda johnson,linda johnson ,linda johnson 
3,1,157,165,thank you miss johnson can I also have your access code please,thank you miss johnson can I also have your access code please,thank you miss johnson can I also have your access code please,thank you miss johnson can I also have your access code please,thank you miss johnson can I also have your access code please,thank you miss johnson can I also have your access code please,thank you miss johnson can i also have your access code please,thank miss johnson also access code please ,thank miss johnson also access code please 
3,2,168,178,Do I Tell you.,Do I Tell you.,Do I Tell you.,Do I Tell you.,Do I Tell you.,Do I Tell you,do i tell you,tell ,tell 
3,1,181,182,Yes please,Yes please,Yes please,Yes please,Yes please,Yes please,yes please,yes please ,yes please 
3,2,190,195,or you 310877.,or you 310877.,or you 310877.,or you # .,or you # .,or you  ,or you  , , 
3,1,199,202,Perfect.,Perfect.,Perfect.,Perfect.,Perfect.,Perfect,perfect,perfect ,perfect 
3,1,209,217,So I can I help you today.,So I can I help you today.,So I can I help you today.,So I can I help you today.,So I can I help you today.,So I can I help you today,so i can i help you today,help today ,help today 
3,2,221,222,I put $800 on my line rather is that the other day as it comes through,I put $800 on my line rather is that the other day as it comes through,I put $800 on my line rather is that the other day as it comes through,I put $#  on my line rather is that the other day as it comes through,I put $#  on my line rather is that the other day as it comes through,I put   on my line rather is that the other day as it comes through,i put   on my line rather is that the other day as it comes through,put line rather day comes ,put line rather day come 
3,1,223,233,Just give me a second.,Just give me a second.,Just give me a second.,Just give me a second.,Just give me a second.,Just give me a second,just give me a second,give second ,give second 
3,1,235,241,I saw that go through yeah that went through on the 15th.,I saw that go through yeah that went through on the 15th.,I saw that go through yeah that went through on the 15th.,I saw that go through yeah that went through on the # .,I saw that go through yeah that went through on the # .,I saw that go through yeah that went through on the  ,i saw that go through yeah that went through on the  ,saw go yeah went  ,saw go yeah go 
3,2,243,251,yep the 800 was it.,yep the 800 was it.,yep the 800 was it.,yep the #  was it.,yep the #  was it.,yep the   was it,yep the   was it,yep ,yep 
3,1,254,256,Yes $800 and has it been,Yes $800 and has it been,Yes $800 and has it been,Yes $#  and has it been,Yes $#  and has it been,Yes   and has it been,yes   and has it been,yes ,yes 
3,2,265,275,Something else taking out of that apart from the IG stuff it's been over a $600 amount taking out from booked holiday house and I'm wondering if that's come out to because,Something else taking out of that apart from the IG stuff it's been over a $600 amount taking out from booked holiday house and I'm wondering if that's come out to because,Something else taking out of that apart from the IG stuff it is been over a $600 amount taking out from booked holiday house and I'm wondering if that is come out to because,Something else taking out of that apart from the IG stuff it is been over a $#  amount taking out from booked holiday house and I'm wondering if that is come out to because,Something else taking out of that apart from the IG stuff it is been over a $#  amount taking out from booked holiday house and I'm wondering if that is come out to because,Something else taking out of that apart from the IG stuff it is been over a   amount taking out from booked holiday house and Im wondering if that is come out to because,something else taking out of that apart from the ig stuff it is been over a   amount taking out from booked holiday house and im wondering if that is come out to because,something else taking apart ig stuff amount taking booked holiday house im wondering come ,something else take apart ig stuff amount take book holiday house im wonder come 
3,1,276,279,Stays.,Stays.,Stays.,Stays.,Stays.,Stays,stays,stays ,stay 
3,1,289,297,'s Bob and stop .,'s Bob and stop .,'s Bob and stop .,'s Bob and stop .,'s Bob and stop .,s Bob and stop ,s bob and stop ,bob stop  ,bob stop 
3,1,302,308,Five 7120,Five 7120,Five 7120,Five # ,Five # ,Five  ,five  ,five  ,five 
3,2,312,321,Five 7121 did that come out yesterday.,Five 7121 did that come out yesterday.,Five 7121 did that come out yesterday.,Five #  did that come out yesterday.,Five #  did that come out yesterday.,Five   did that come out yesterday,five   did that come out yesterday,five come yesterday ,five come yesterday 
3,1,330,333,that came out,that came out,that came out,that came out,that came out,that came out,that came out,came ,come 
3,1,338,339,Interesting.,Interesting.,Interesting.,Interesting.,Interesting.,Interesting,interesting,interesting ,interest 
3,1,342,347,A 09 hours later.,A 09 hours later.,A 09 hours later.,A #  hours later.,A #  hours later.,A   hours later,a   hours later,hours later ,hours later 
3,1,353,359,So yes.,So yes.,So yes.,So yes.,So yes.,So yes,so yes,yes ,yes 
3,1,367,368,Yet,Yet,Yet,Yet,Yet,Yet,yet,yet ,yet 
3,2,370,373,From space.,From space.,From space.,From space.,From space.,From space,from space,space ,space 
3,2,383,386,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
3,2,395,398,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
3,2,401,408,So that did go out.,So that did go out.,So that did go out.,So that did go out.,So that did go out.,So that did go out,so that did go out,go ,go 
3,2,417,426,Okay thank you very much that that's all I need tonight.,Okay thank you very much that that's all I need tonight.,Okay thank you very much that that is all I need tonight.,Okay thank you very much that that is all I need tonight.,Okay thank you very much that that is all I need tonight.,Okay thank you very much that that is all I need tonight,okay thank you very much that that is all i need tonight,okay thank much need tonight ,okay thank much need tonight 
3,1,427,431,Alright perfect is there anything else I can assist today.,Alright perfect is there anything else I can assist today.,Alright perfect is there anything else I can assist today.,Alright perfect is there anything else I can assist today.,Alright perfect is there anything else I can assist today.,Alright perfect is there anything else I can assist today,alright perfect is there anything else i can assist today,alright perfect anything else assist today ,alright perfect anything else assist today 
3,2,433,441,no thats all  thanks Matthew,no thats all  thanks Matthew,no thats all  thanks Matthew,no thats all  thanks Matthew,no thats all  thanks Matthew,no thats all  thanks Matthew,no thats all  thanks matthew,thats thanks matthew ,thats thank matthew 
3,1,446,454,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation,okay and thank you for calling australia post laod and go support i hope you have a great vacation,okay thank calling australia post laod go support hope great vacation ,okay thank call australia post laod go support hope great vacation 
3,2,464,472,yeah.,yeah.,yeah.,yeah.,yeah.,yeah,yeah,yeah ,yeah 
3,2,477,485,Thank you you too bye-bye.,Thank you you too bye bye.,Thank you you too bye bye.,Thank you you too bye bye.,Thank you you too bye bye.,Thank you you too bye bye,thank you you too bye bye,thank bye bye ,thank bye bye 
3,1,487,488,Alright thanks bye.,Alright thanks bye.,Alright thanks bye.,Alright thanks bye.,Alright thanks bye.,Alright thanks bye,alright thanks bye,alright thanks bye ,alright thank bye 
3,2,490,491,Yeah,Yeah,Yeah,Yeah,Yeah,Yeah,yeah,yeah ,yeah 
4,1,1,4,But my thing.,But my thing.,But my thing.,But my thing.,But my thing.,But my thing,but my thing,thing ,thing 
4,2,10,16,Welcome to australia post load and go support this is Matthew.,Welcome to australia post load and go support this is Matthew.,Welcome to australia post load and go support this is Matthew.,Welcome to australia post load and go support this is Matthew.,Welcome to australia post load and go support this is Matthew.,Welcome to australia post load and go support this is Matthew,welcome to australia post load and go support this is matthew,welcome australia post load go support matthew ,welcome australia post load go support matthew 
